U10008: N34344, N31893, N6873, N17073, N52764, N37629, N32626, N37688, N30630, N33792, N44789, N34397, N3996, N11645, N52502, N19013, N19815, N24275, N3997, N27499
U1158: N57546, N61811, N18010, N55949, N23805, N3007, N59526, N28983, N42845, N46624, N47020, N48487, N20333, N4034, N51745, N1572, N20614, N59337, N19776, N36545
U11610: N57560, N9763, N55943, N15194, N31978, N60550, N42457, N39399, N2986, N58553, N53296, N61241, N5048, N42803, N22036, N51104, N38053, N55555, N55723, N3007
U1163: N9997, N58345, N58264, N58171, N57995, N37589, N20985, N57919, N21019, N21196, N41594, N57536, N21681, N21701, N21914, N37437, N22061, N3742, N58293, N2058
U11633: N41881, N23039, N60750, N10867, N59471, N57560, N32923, N51745, N39189, N49279, N35994, N65216, N16844, N38311, N45953, N60848, N64269, N26262, N20614, N60631
U11672: N28129, N46304, N32158, N49046, N14809, N48717, N50912, N53584, N5450, N4642, N6638, N43646, N55198, N22722, N48490, N28855, N51239, N51745, N33469, N20688
U11706: N7655, N37391, N38206, N15051, N10544, N32626, N56473, N46713, N45551, N29319, N35392, N17655, N3116, N16954, N19998, N17768, N63364, N54692, N59749, N64802
U11713: N29541, N26438, N15807, N36933, N36931, N36914, N13131, N54003, N26624, N36742, N13165, N7443, N44865, N28327, N15894, N48410, N61363, N19926, N59685, N7330
U11792: N30481, N62049, N24802, N45523, N4034, N30553, N11771, N38697, N3190, N34130, N24981, N13626, N51745, N58251, N15811, N16929, N33297, N1180, N63084, N9912
U11801: N41612, N26595, N50536, N35369, N24109, N4667, N37636, N32078, N26953, N17031, N14170, N48740, N48224, N37204, N35393, N59602, N63174, N26380, N39112, N45095
U11828: N27318, N23444, N33326, N51700, N26967, N20776, N57403, N46236, N51745, N8889, N30536, N5940, N22457, N9284, N11359, N17228, N7993, N54437, N47380, N36689
U11858: N5798, N41787, N3007, N64613, N48084, N7600, N18032, N20378, N6343, N962, N44786, N18151, N38215, N45236, N39974, N6347, N18828, N45067, N11363, N60658
U11876: N46917, N7950, N34055, N47380, N65028, N4610, N63962, N15648, N2758, N50023, N45960, N27318, N51700, N21063, N36624, N63475, N6347, N61466, N57655, N54866
U11892: N6916, N14054, N20770, N1019, N5981, N9047, N7328, N23864, N13941, N58656, N13930, N12029, N46236, N19795, N34631, N41651, N7754, N5507, N34130, N40332
U11894: N25064, N57260, N63962, N53219, N18751, N7092, N41074, N53182, N45289, N18653, N58070, N39463, N57754, N57733, N39456, N64409, N43106, N18476, N51793, N8709
U11895: N41492, N16552, N48448, N706, N56211, N14964, N29319, N41670, N22595, N53599, N26811, N5051, N50302, N14266, N41881, N34035, N42845, N48403, N35436, N49279
U11921: N32012, N1495, N7655, N35854, N34601, N14266, N7443, N7330, N3303, N7129, N7092, N36178, N53635, N15269, N31395, N31212, N3116, N15292, N6916, N30562
U11935: N51954, N50592, N28947, N6787, N34492, N56620, N61782, N57367, N11698, N20510, N44460, N23809, N1847, N12940, N24007, N17201, N46810, N25457, N6312, N62521
U11945: N21219, N59126, N54593, N21950, N22885, N1170, N28327, N22816, N44084, N18644, N22566, N58264, N16035, N37715, N63415, N32945, N14270, N5152, N34729, N46024
U11963: N42800, N46917, N29363, N18032, N56456, N33957, N48077, N28851, N61782, N42877, N56675, N56711, N14436, N14478, N47975, N17720, N61697, N57032, N4273, N47888
U11979: N57368, N30562, N57032, N2825, N35576, N20961, N54606, N53741, N45479, N42076, N27908, N30929, N36349, N5796, N6013, N8267, N46379, N15001, N59320, N40887
U11994: N26130, N42212, N7462, N11378, N46261, N38173, N16081, N40109, N21030, N1495, N54862, N61760, N28340, N22908, N43919, N33929, N50942, N48929, N39399, N38797
U12001: N32556, N30553, N51553, N26199, N13556, N11652, N8247, N35418, N48693, N51009, N59685, N46915, N22244, N33240, N47094, N57331, N61233, N3836, N31503, N9815
U12023: N24176, N64816, N17647, N35486, N60105, N54577, N38483, N43580, N57754, N422, N48146, N43508, N114, N47433, N56142, N23452, N25437, N35861, N30553, N43460
U12026: N12570, N51745, N49576, N35815, N34633, N2659, N7092, N39890, N42767, N21200, N33469, N59908, N27979, N48340, N39005, N38060, N36624, N6371, N22221, N52929
U12027: N23060, N1768, N62049, N14878, N6021, N65021, N38718, N7272, N1435, N52929, N301, N17936, N32527, N51700, N4215, N23184, N9538, N32556, N23809, N38620
U12032: N48887, N55949, N39061, N1323, N28716, N2872, N28747, N38924, N19061, N63475, N6347, N11415, N28785, N28786, N13165, N63385, N63381, N38697, N11417, N39094
U12045: N39919, N53476, N26220, N54443, N29533, N21965, N291, N61782, N9039, N8941, N48703, N4610, N33611, N38490, N36251, N3704, N44823, N14744, N22556, N51457
U12091: N47710, N44682, N60750, N50080, N53923, N24007, N54956, N37338, N19318, N53828, N27545, N15719, N28785, N49634, N23814, N27979, N23816, N19019, N9349, N32734
U12108: N9997, N47068, N36459, N41708, N36480, N54593, N5454, N24021, N46892, N64063, N19420, N31621, N24460, N31813, N47114, N24608, N64459, N14408, N36622, N41505
U12124: N9997, N35609, N32542, N32630, N33012, N33385, N33469, N33611, N34382, N7895, N35430, N7826, N31893, N35689, N36186, N36359, N36931, N37420, N38371, N3894
U12146: N14638, N39853, N34041, N30553, N40331, N29226, N24320, N27891, N38759, N41946, N64269, N38718, N61740, N3788, N52286, N43343, N30466, N15015, N50735, N30923
U12147: N56545, N14964, N61532, N45317, N48403, N60663, N26330, N48448, N22595, N19030, N2573, N23517, N18793, N46219, N51963, N34035, N34555, N41737, N29319, N5085
U12148: N33212, N5854, N51745, N12136, N33469, N34869, N61754, N59060, N26352, N252, N27869, N62633, N49527, N57775, N14808, N34653, N6432, N5454, N36332, N50601
U1215: N39620, N16844, N524, N35389, N63421, N7342, N33469, N62212, N48849, N60272, N40108, N16020, N25623, N10142, N61039, N8373, N40365, N51745, N20003, N49782
U12166: N56051, N42457, N9284, N63550, N49180, N15855, N26967, N61811, N61233, N1180, N54315, N10812, N51745, N42590, N30963, N58553, N6074, N23391, N11929, N41073
U1217: N34869, N62809, N39184, N55950, N59749, N29009, N53201, N39651, N35609, N64919, N5454, N14266, N60762, N50054, N15072, N3243, N34283, N21142, N13907, N4662
U12183: N64508, N42433, N37007, N39463, N52020, N23406, N24894, N41946, N13898, N29920, N55029, N65021, N15838, N6890, N1815, N51745, N30553, N40154, N24435, N48884
U12226: N57462, N31179, N20912, N4034, N48613, N25605, N3356, N39028, N38987, N38951, N56142, N7119, N19811, N19795, N26439, N18992, N51951, N52438, N54577, N34668
U12239: N64269, N13834, N61898, N19584, N23028, N34764, N47652, N38371, N11771, N47412, N62049, N47380, N15648, N30553, N18992, N30598, N11793, N54125, N13907, N6890
U12265: N35671, N20838, N12029, N41387, N4128, N51344, N38294, N21539, N24435, N38306, N39442, N25471, N18708, N52312, N63650, N36351, N32290, N29168, N41133, N41074
U12282: N23455, N46024, N14436, N57754, N12043, N46203, N22978, N6347, N46037, N15051, N60550, N31041, N45760, N7901, N45289, N30454, N61466, N57202, N63309, N633
U12316: N31332, N56874, N58264, N18895, N7995, N23180, N64077, N64372, N1091, N48659, N25165, N18295, N44645, N38951, N62423, N16777, N18118, N36495, N12980, N24539
U12325: N44605, N62049, N2482, N11974, N11869, N26649, N26780, N33, N65021, N46714, N50536, N53443, N27928, N59732, N6549, N15279, N12380, N28738, N50005, N29652
U12345: N40268, N11627, N40656, N27020, N11193, N23406, N1450, N20614, N15481, N25501, N56313, N22149, N20838, N21826, N16851, N29379, N41596, N55633, N47216, N41946
U12367: N41074, N1323, N7655, N16081, N13763, N41626, N61233, N38371, N47020, N6890, N40109, N49279, N1495, N43106, N56569, N56523, N37052, N43772, N15574, N47652
U1240: N23373, N13930, N25657, N52424, N46037, N19592, N37204, N57521, N6638, N14049, N18118, N10812, N35951, N32158, N31917, N16314, N3123, N60663, N63174, N22885
U12409: N22885, N25678, N46236, N21063, N25605, N26719, N52520, N45967, N25954, N40329, N57332, N5048, N38461, N51700, N38733, N652, N58354, N30944, N61466, N27318
U12412: N34344, N8455, N22885, N61466, N11569, N6578, N26023, N35389, N24108, N51745, N28496, N9335, N36611, N25323, N16854, N50946, N34915, N8427, N16021, N14049
U12425: N56051, N23391, N35216, N42457, N63550, N19661, N10812, N37793, N15269, N7344, N12043, N9284, N3123, N61811, N32268, N58553, N50926, N23767, N5940, N22624
U12430: N51745, N19611, N63481, N33, N37007, N57260, N38239, N39463, N42433, N21484, N1914, N12570, N64037, N53248, N15043, N47704, N46484, N23513, N33469, N37287
U12452: N44897, N24224, N10105, N19623, N50034, N50735, N52588, N23502, N27891, N63231, N56132, N51700, N33469, N60322, N43254, N51570, N31060, N22666, N5908, N32719
U12460: N15855, N23446, N3123, N42457, N5940, N63550, N58553, N56051, N46236, N12570, N42890, N61811, N61541, N33469, N14878, N23391, N38733, N14993, N17340, N51700
