U10008: N16081, N28800, N34344, N28324, N39432, N44789, N11645, N50924, N49712, N6873, N29268, N3138, N53242, N27055, N35495, N46130, N61296, N43386, N31676, N38488
U10450: N25605, N64606, N57403, N28324, N48487, N37204, N53346, N37157, N28800, N3841, N11569, N24458, N3589, N14049, N22417, N23184, N64372, N43386, N40324, N37326
U10451: N41493, N42670, N11931, N28324, N29363, N17605, N47868, N34225, N49712, N19811, N7826, N61466, N19882, N56645, N52308, N57451, N40575, N2994, N54437, N32053
U10455: N33005, N52502, N34344, N28324, N36249, N36931, N10616, N41698, N58660, N40906, N19536, N17952, N51587, N22457, N41717, N59022, N57034, N1344, N63390, N32005
U10474: N34185, N25015, N26537, N28324, N61241, N32567, N24272, N33828, N30689, N60105, N33297, N26057, N11940, N49046, N19661, N26262, N8711, N47433, N39015, N4021
U10478: N8559, N47370, N40575, N28324, N4290, N17193, N53346, N62128, N39184, N39463, N35436, N46915, N6816, N49197, N21310, N26781, N15559, N34031, N14809, N23816
U10482: N32533, N50484, N34344, N28324, N39463, N35495, N27055, N4663, N61760, N7112, N64183, N40324, N44460, N23632, N29491, N42655, N57034, N43386, N24458, N55544
U10491: N14370, N37553, N3996, N28324, N35436, N18828, N11645, N16806, N47380, N41221, N301, N17936, N7125, N27499, N46396, N5693, N61296, N46037, N19536, N2822
U10507: N20838, N31782, N11931, N28324, N4610, N4729, N1336, N33828, N47216, N17936, N4290, N53728, N21186, N52138, N25657, N28072, N52588, N11551, N48084, N9267
U10516: N35486, N60550, N13640, N28324, N11083, N16260, N53346, N34709, N40324, N60192, N29541, N17952, N55931, N15947, N17031, N63390, N28983, N44249, N40899, N3708
U10524: N60750, N47370, N18295, N28324, N58030, N35392, N44516, N62128, N28072, N64095, N35436, N40324, N57354, N52138, N61952, N47216, N15559, N51187, N29930, N65216
U1053: N14699, N32641, N38869, N28324, N29920, N23616, N40700, N21885, N41640, N28800, N40451, N19387, N6547, N5152, N42678, N60939, N34344, N34031, N31294, N14181
U10585: N25639, N49712, N24424, N28324, N38901, N24435, N6066, N35147, N1539, N557, N29363, N9409, N55913, N15838, N10250, N43460, N3996, N1344, N29627, N23563
U10604: N55633, N47370, N11931, N28324, N4610, N49279, N15838, N37251, N58660, N37007, N4287, N46915, N60834, N23513, N29379, N5693, N40221, N308, N61973, N24435
U10611: N54911, N8375, N53011, N28324, N38333, N740, N6066, N9815, N6916, N61973, N54571, N47553, N35570, N27932, N2844, N27891, N30288, N47433, N53728, N13601
U10635: N15234, N54571, N51690, N28324, N1539, N36545, N39050, N61811, N36612, N40451, N4290, N47087, N58748, N45416, N16777, N58656, N57403, N46037, N48084, N17599
U10674: N19661, N41006, N21063, N28324, N57521, N24608, N14964, N27342, N39184, N5085, N31884, N26057, N57041, N8214, N25605, N5940, N13498, N46037, N48084, N53599
U10700: N49180, N21290, N16725, N28324, N60105, N8373, N23089, N3256, N1952, N37500, N11569, N3138, N51725, N3318, N24963, N28800, N30288, N47433, N54439, N16020
U10703: N43083, N8889, N58129, N28324, N12613, N20746, N23642, N57995, N52577, N41221, N36916, N3007, N7443, N13374, N37126, N28420, N31556, N34031, N60035, N3617
U10729: N20372, N54571, N28983, N28324, N43460, N5981, N41651, N4663, N4857, N50372, N29541, N24458, N40982, N53634, N23563, N50058, N8162, N2994, N53630, N17252
U10742: N5981, N41387, N46501, N2994, N4857, N43911, N41651, N27869, N40906, N60550, N54571, N9409, N44772, N41380, N3128, N1539, N28983, N11551, N53630, N52782
U10773: N7113, N42670, N30288, N28324, N7826, N23394, N23089, N43269, N57451, N29363, N61973, N9971, N28978, N21513, N51364, N27936, N2704, N11551, N9409, N36016
U10822: N28506, N1539, N26584, N28324, N37500, N16260, N13374, N38155, N24109, N7826, N52577, N20331, N63599, N41380, N28569, N17342, N13640, N1344, N40324, N1105
U1083: N17031, N48487, N18571, N28324, N11569, N27376, N41258, N16447, N60550, N3841, N33623, N38333, N25064, N33332, N5897, N62894, N62001, N5886, N59526, N7416
U10855: N14370, N47370, N11931, N28324, N35436, N17605, N53349, N50924, N19477, N32641, N7826, N32288, N9295, N16568, N61233, N49712, N42196, N16461, N37553, N27361
U10862: N58462, N15194, N40752, N28324, N39463, N7618, N32923, N56517, N39184, N47902, N59526, N9971, N3234, N15838, N31590, N47216, N53011, N34031, N61973, N26649
U10866: N6477, N49252, N27906, N28324, N47087, N42515, N43974, N57995, N58656, N1539, N54571, N41387, N3517, N30725, N64037, N59981, N4107, N2994, N49955, N26286
U10868: N35803, N46283, N45612, N28324, N11652, N15435, N10616, N44183, N18063, N51489, N29511, N61466, N23784, N16851, N50023, N7568, N53013, N11551, N31294, N31621
U10906: N60695, N59367, N28103, N28324, N34817, N37437, N27055, N50990, N20413, N14809, N33623, N47553, N36821, N18943, N63828, N41221, N61296, N38797, N41387, N20296
U10909: N63550, N36612, N12330, N28324, N48077, N45912, N38070, N43102, N14170, N5940, N35671, N15194, N43143, N48416, N50245, N63746, N34081, N51099, N4556, N23446
U10910: N8373, N19685, N27906, N28324, N42890, N3034, N49191, N33791, N33297, N5940, N36689, N15194, N28059, N23180, N14270, N10869, N62170, N16461, N40451, N15234
U10928: N48824, N19477, N11931, N28324, N58030, N4913, N52329, N25064, N58660, N53443, N32641, N46915, N27928, N1768, N13471, N31395, N61296, N11551, N53728, N60750
U10936: N17886, N24109, N38869, N28324, N57521, N4923, N22977, N35147, N64095, N61363, N4290, N3138, N60834, N40941, N36779, N26781, N15559, N2994, N29322, N1170
U10944: N43083, N5940, N62170, N28324, N48077, N51287, N62518, N25064, N27318, N37553, N38733, N20764, N35216, N49183, N38620, N6578, N4107, N16461, N47380, N47020
U10979: N30207, N36612, N21063, N28324, N49955, N63647, N4500, N23490, N29930, N8375, N53735, N53728, N53170, N52329, N32533, N30929, N57403, N16461, N61973, N21508
U1098: N30290, N28072, N38869, N28324, N60059, N61476, N1768, N43269, N1952, N46915, N47380, N33670, N28059, N43498, N65216, N47370, N29217, N34031, N19536, N33630
U11007: N9349, N57451, N30288, N28324, N47975, N43083, N33474, N62128, N20478, N21290, N63390, N15194, N61571, N63342, N14291, N5288, N37346, N11551, N53630, N14436
U11014: N57359, N2649, N36037, N28324, N4610, N49279, N15838, N20287, N28800, N21290, N54439, N39298, N15469, N23513, N14857, N26781, N11931, N47433, N59526, N9883
U1103: N56051, N1952, N18295, N28324, N7112, N58553, N15249, N61811, N36689, N5940, N31884, N47902, N44558, N22457, N23767, N46130, N11931, N46037, N40451, N41165
U11059: N38620, N46283, N13980, N28324, N19387, N15435, N21513, N34492, N28072, N4905, N19536, N33831, N41698, N22457, N17201, N56471, N22985, N46037, N20764, N30207
U11075: N26673, N27936, N53011, N28324, N3045, N48146, N12800, N13729, N29541, N40078, N26130, N53728, N23490, N6066, N56227, N37589, N30288, N41400, N63390, N53084
U11124: N44145, N60550, N56270, N28324, N58030, N13604, N57000, N4663, N64606, N62894, N33623, N24109, N25124, N22457, N1019, N54571, N28983, N44249, N53728, N14780
U11146: N31954, N59494, N59908, N28324, N51489, N36252, N10840, N50404, N42890, N5940, N301, N39463, N51700, N34794, N52308, N29533, N61296, N308, N61466, N54227
U11157: N55943, N28072, N18571, N28324, N28640, N41612, N37384, N15678, N36612, N14170, N62894, N53728, N57041, N22457, N36480, N24109, N18151, N46037, N40451, N4510
U11159: N12910, N47216, N30288, N28324, N40985, N33123, N15481, N53170, N28072, N28640, N61973, N62750, N48539, N21513, N9792, N31884, N50775, N11551, N53381, N57081
U11165: N43738, N49712, N40221, N28324, N9135, N9928, N38070, N59277, N7852, N62207, N57521, N46915, N30049, N7041, N34724, N42670, N60472, N2994, N29627, N11417
U11178: N24176, N34949, N34344, N28324, N20576, N49279, N37384, N55712, N1952, N2530, N28640, N3138, N49831, N36796, N29830, N24686, N12330, N43386, N31676, N366
U11185: N45361, N15279, N21063, N28324, N29930, N33, N59257, N38381, N53443, N23603, N29541, N41387, N32870, N50831, N32533, N8375, N42196, N25163, N17952, N48351
U112: N60647, N36612, N37346, N28324, N57521, N49279, N37384, N4663, N39184, N24109, N59367, N24458, N16553, N52675, N15155, N34601, N30288, N38797, N33623, N53599
U1121: N58383, N16477, N10541, N28324, N19811, N2852, N49191, N28203, N1091, N28152, N33212, N16117, N50007, N23642, N41174, N28420, N13980, N308, N54792, N55392
U11232: N46279, N52502, N34344, N28324, N40906, N16918, N53349, N44460, N31395, N63390, N6873, N21290, N55913, N35094, N29847, N14990, N40575, N52835, N40324, N29830
U11250: N30454, N40324, N53013, N45754, N16431, N57754, N13051, N5364, N57451, N3045, N53837, N3138, N46892, N44516, N64902, N6578, N34344, N52835, N63390, N11542
U11255: N19961, N56471, N52098, N28324, N28129, N60695, N36495, N43269, N39184, N28152, N40390, N9409, N3234, N27932, N28918, N3541, N22985, N46037, N39015, N52218
U11271: N37263, N31782, N36037, N28324, N17936, N12523, N15838, N36288, N39184, N37007, N28640, N46915, N60834, N14964, N41934, N31884, N10541, N16461, N54437, N18708
U11274: N54867, N31782, N53013, N28324, N29920, N30207, N52138, N50990, N47652, N39463, N42890, N28420, N43932, N23513, N30099, N17998, N9846, N308, N54437, N24435
U11277: N22061, N49712, N30288, N28324, N30422, N24981, N57462, N43143, N4034, N28420, N20576, N31423, N43102, N46592, N7092, N63746, N2704, N308, N27738, N23942
U11292: N15628, N14978, N62001, N28324, N30422, N19241, N37384, N45353, N63746, N54571, N48717, N24458, N47786, N50653, N1887, N28448, N37272, N308, N52577, N41934
U11304: N7901, N22664, N13498, N28324, N29363, N35803, N36332, N36414, N6578, N28072, N63390, N18312, N34709, N52520, N4162, N2649, N53011, N25163, N19536, N13981
U11316: N10786, N25015, N37272, N28324, N41658, N51140, N4119, N62632, N28129, N26781, N39015, N27532, N39369, N62518, N34185, N5940, N15559, N46037, N24213, N22855
U11320: N6347, N31978, N37346, N28324, N9734, N14652, N37384, N40973, N60105, N48084, N24213, N46130, N46923, N11645, N2393, N60550, N11289, N46037, N24458, N7328
U11324: N28477, N37553, N61969, N28324, N7112, N48849, N5152, N36288, N39184, N27532, N301, N1667, N50404, N48729, N15155, N63746, N42196, N51187, N57521, N6735
U11340: N49279, N20576, N31556, N28324, N59367, N41934, N37384, N64858, N39184, N47572, N53381, N31423, N14929, N60085, N32158, N6578, N62170, N308, N53630, N24509
U11341: N22348, N39184, N60472, N28324, N40906, N60647, N36332, N28132, N26781, N48084, N29322, N18449, N35216, N50653, N49527, N58660, N36037, N38797, N24458, N43568
U11344: N47704, N39184, N60472, N28324, N39463, N57484, N54269, N6312, N47370, N35436, N40451, N41640, N36821, N30888, N56194, N19477, N40221, N1344, N61973, N41176
U11356: N11417, N12682, N40752, N28324, N29363, N10879, N48476, N50404, N706, N54587, N35671, N52299, N23675, N11309, N37437, N20325, N15559, N16461, N27532, N6432
U11357: N9997, N47652, N61296, N28324, N29363, N3763, N16568, N36414, N22975, N40906, N53630, N18312, N50404, N50727, N30290, N19477, N53013, N11551, N61973, N10879
U11453: N30283, N7826, N28983, N28324, N18449, N22978, N29889, N3234, N49252, N40906, N12703, N9409, N811, N30888, N16790, N33505, N10367, N43386, N24458, N29152
U11454: N1660, N51489, N45017, N28324, N29920, N3708, N45416, N42590, N34601, N46586, N4610, N40324, N41627, N1336, N49279, N47216, N53013, N38797, N59526, N56080
U11465: N41714, N39184, N21063, N28324, N12703, N46836, N22624, N27342, N41006, N7852, N57521, N46915, N38381, N22977, N39832, N15279, N13498, N46037, N40451, N21508
U11473: N15043, N1952, N8711, N28324, N47902, N7121, N6066, N25491, N47370, N11569, N35436, N46915, N10757, N50653, N60750, N29930, N28103, N2994, N19536, N64409
U11474: N49279, N31884, N13980, N28324, N28640, N21508, N15838, N54442, N47370, N40451, N47380, N34360, N27342, N1450, N32533, N46917, N15559, N51187, N48077, N46836
U11489: N38620, N706, N27906, N28324, N4610, N16445, N36332, N36414, N39184, N39463, N7112, N32288, N54315, N15838, N17659, N32641, N21681, N11551, N1091, N60695
U1150: N24963, N39184, N60472, N28324, N21290, N5822, N56645, N25678, N2649, N20576, N21941, N46915, N62128, N14964, N4384, N20478, N30288, N1344, N63390, N38215
U11506: N34185, N47902, N52009, N28324, N14170, N63748, N7041, N64858, N48084, N557, N19811, N53443, N30713, N37384, N29490, N26781, N21063, N16461, N36689, N63656
U11508: N19990, N1539, N18151, N28324, N6873, N19013, N11645, N34044, N56471, N40324, N40390, N9734, N57764, N41258, N37688, N46130, N34344, N2994, N31676, N496
U11511: N41176, N47380, N59960, N28324, N29930, N25657, N1450, N38381, N19477, N4610, N31884, N20764, N3589, N5152, N23373, N557, N21063, N46037, N61973, N21484
U11536: N21297, N40078, N61472, N28324, N7826, N17605, N11645, N3234, N35725, N38053, N48084, N29722, N44737, N14456, N49279, N31289, N28983, N11551, N52577, N28569
U11547: N41881, N557, N13498, N28324, N28640, N9883, N37384, N53304, N31884, N36612, N40451, N40956, N21186, N19057, N54903, N2649, N52098, N16461, N19536, N15369
U11552: N46887, N59494, N61296, N28324, N6873, N51552, N58171, N21885, N59867, N32641, N64412, N46915, N47906, N16854, N50879, N1914, N40221, N1344, N63390, N10754
U11556: N57957, N19477, N27906, N28324, N4610, N6997, N10616, N62632, N32641, N7568, N35436, N46915, N38381, N52329, N8373, N37553, N49973, N43386, N61973, N36914
U1158: N9284, N36612, N18295, N28324, N5519, N15269, N28855, N22036, N47572, N48487, N64469, N49001, N61811, N53346, N49180, N24458, N10541, N308, N62423, N59933
U11610: N42457, N31289, N26584, N28324, N28327, N8373, N6378, N7500, N3007, N51033, N29363, N41387, N35216, N19057, N47020, N60550, N62170, N1344, N56347, N10083
U1163: N60272, N54571, N31179, N28324, N43460, N34400, N60960, N23272, N58030, N50372, N6767, N56347, N22036, N22416, N24509, N7868, N28571, N43386, N52577, N38578
U11633: N55943, N47370, N30288, N28324, N28640, N53599, N1336, N36288, N47216, N28072, N4610, N53728, N57041, N1450, N41881, N31782, N42196, N51187, N60105, N16120
U11672: N47357, N25015, N49973, N28324, N48717, N12812, N54269, N50404, N46917, N9409, N28129, N55531, N28978, N28716, N46304, N23547, N44166, N51099, N40451, N32158
U11706: N60647, N41064, N37346, N28324, N57521, N60744, N22977, N50924, N39184, N34360, N33212, N24458, N14929, N7041, N34763, N20601, N61296, N46037, N3138, N14270
U11713: N9340, N49252, N8162, N28324, N3007, N36933, N41651, N28978, N47370, N54571, N25130, N41387, N59841, N23089, N65216, N47087, N28983, N25163, N9409, N37338
U11792: N60695, N26063, N52098, N28324, N33670, N61787, N45676, N39741, N54587, N7852, N27738, N30401, N59277, N62518, N51570, N19811, N31556, N16461, N28420, N41174
U11801: N45912, N14170, N62001, N28324, N48487, N35393, N33332, N22036, N52312, N38898, N28643, N24458, N59277, N27932, N52424, N36612, N57403, N308, N27738, N1985
U11828: N4913, N5940, N18291, N28324, N1667, N9284, N49191, N43522, N47380, N20764, N42890, N47370, N48843, N23180, N56051, N27318, N42196, N16461, N24109, N38461
U11858: N18828, N1952, N34344, N28324, N33212, N44786, N53346, N54960, N56347, N11569, N35436, N53593, N26023, N13374, N38201, N17778, N18151, N1344, N40324, N14370
U11876: N19444, N26781, N2159, N28324, N12703, N64037, N10616, N34709, N58660, N27532, N63390, N38504, N50404, N17115, N43911, N37553, N38869, N11551, N7173, N31112
U11892: N5981, N26262, N58129, N28324, N54571, N16344, N13374, N28132, N6916, N1539, N33623, N47087, N32774, N48476, N19776, N58656, N8162, N2994, N41387, N13165
U11894: N33240, N1539, N46501, N28324, N28327, N4913, N53349, N62128, N22975, N53515, N29627, N9135, N25491, N12800, N38578, N14170, N16725, N1344, N52577, N15234
U11895: N49279, N39184, N36037, N28324, N15194, N60750, N15838, N35216, N4610, N28072, N61973, N47370, N25064, N63342, N4936, N14170, N45017, N39399, N59526, N41934
U11921: N55943, N28072, N21681, N28324, N30562, N41176, N60085, N25064, N26781, N28129, N16804, N53728, N43102, N52329, N27908, N42877, N40752, N51187, N61973, N12910
U11935: N17201, N29541, N26584, N28324, N58030, N29128, N21513, N53304, N24467, N30562, N60531, N40324, N51954, N37101, N26525, N37589, N22985, N47433, N63390, N11768
U11945: N60272, N33212, N3996, N28324, N33469, N23398, N41258, N36288, N57521, N41221, N3045, N56347, N26023, N57000, N34185, N30118, N61296, N308, N29627, N15234
U11963: N41881, N18449, N25837, N28324, N40356, N53572, N29889, N3234, N22975, N63681, N48077, N46915, N53322, N48729, N47704, N27936, N53013, N41400, N301, N26224
U11979: N27908, N57451, N30288, N28324, N30562, N64424, N54238, N20961, N29541, N40078, N26690, N40324, N18426, N23089, N21128, N14990, N13640, N41400, N52577, N34865
U11994: N43106, N1952, N34344, N28324, N11569, N2120, N53349, N53242, N34004, N58070, N26130, N32288, N23805, N28275, N57957, N1914, N4107, N1344, N16804, N34480
U12001: N46624, N17936, N61969, N28324, N14170, N42634, N7419, N9719, N1539, N62207, N48487, N61466, N26415, N40470, N36931, N28072, N26584, N39399, N52577, N39442
U12023: N42365, N37500, N26584, N28324, N4290, N35861, N57000, N28132, N40899, N31789, N3045, N40324, N32774, N13374, N63415, N36612, N58129, N308, N52577, N36786
U12026: N33240, N22975, N61296, N28324, N6873, N36252, N35815, N50404, N42670, N53515, N26690, N46915, N23675, N48812, N52308, N59867, N59908, N51187, N63390, N19746
U12027: N12627, N47380, N61969, N28324, N33670, N30207, N23513, N62632, N37553, N51119, N301, N5519, N41065, N9538, N43190, N59981, N42196, N46037, N64335, N3745
U12032: N37204, N48487, N18151, N28324, N28072, N60895, N26915, N23490, N24686, N54571, N20576, N61466, N43102, N23370, N64037, N31978, N53011, N5886, N52577, N38578
U12045: N21196, N47652, N53011, N28324, N41640, N50023, N50653, N55913, N26262, N3045, N48077, N40324, N38490, N16568, N36186, N27079, N8711, N11551, N9409, N46393
U12091: N55029, N1952, N53013, N28324, N26690, N13087, N49328, N21186, N47370, N61973, N25130, N18485, N37251, N35815, N23616, N19477, N53011, N25163, N63390, N16081
U12108: N9724, N26781, N47190, N28324, N4290, N49279, N40941, N4649, N39184, N47087, N35725, N24458, N9719, N5152, N61532, N49712, N15559, N2994, N29322, N20003
U12124: N8687, N14809, N26584, N28324, N24109, N21077, N29889, N34382, N38311, N7826, N53381, N3007, N25860, N48261, N20036, N30562, N28983, N34031, N52577, N7895
U12146: N32533, N27891, N57001, N28324, N60059, N61787, N12517, N19298, N11652, N17998, N54437, N52299, N41065, N28150, N21508, N23603, N61040, N16461, N61929, N55518
U12147: N25605, N19477, N13498, N28324, N47902, N10786, N60663, N27342, N46917, N28072, N57521, N20764, N38381, N60085, N22855, N39184, N15559, N51187, N28640, N38029
U12148: N25165, N47572, N20394, N28324, N9135, N8373, N49046, N36414, N706, N58414, N53630, N61363, N23675, N49191, N64305, N5288, N62170, N11551, N4556, N23196
U1215: N8373, N47572, N38869, N28324, N6873, N35389, N58171, N21885, N39184, N46915, N7852, N9135, N33791, N23629, N47704, N1663, N59908, N5886, N40451, N2960
U12166: N49180, N5940, N62170, N28324, N38733, N30253, N57462, N61811, N4034, N9135, N36689, N47572, N43143, N49191, N15855, N18312, N51690, N5886, N7173, N24981
U1217: N29212, N22575, N58129, N28324, N14809, N34283, N54988, N22483, N14802, N47975, N52577, N47572, N38080, N13374, N51711, N53201, N13347, N41400, N301, N21719
U12183: N38697, N48077, N31556, N28324, N62033, N18729, N52329, N38381, N18485, N50372, N61973, N39463, N54442, N27932, N52020, N18332, N1575, N11551, N53728, N30207
U12226: N31050, N60192, N47190, N28324, N19811, N4021, N46263, N50007, N20331, N33623, N6767, N40899, N4663, N35094, N4118, N56471, N1575, N38797, N24458, N26967
U12239: N48824, N47902, N45017, N28324, N37553, N23406, N1336, N44394, N47216, N18485, N61973, N39463, N44519, N9538, N24435, N4610, N62001, N51187, N301, N4729
U12265: N23446, N14170, N28983, N28324, N48487, N6477, N46592, N57041, N28072, N7112, N48084, N14257, N6926, N41380, N52102, N40906, N62001, N39399, N41387, N6761
U12282: N29961, N47975, N25837, N28324, N32393, N19746, N12800, N21885, N26690, N41113, N48084, N21290, N22483, N22037, N33123, N16477, N10367, N34031, N63390, N16844
U12316: N57957, N7568, N56217, N28324, N19387, N34048, N1450, N38550, N56132, N39463, N64469, N61593, N43932, N58171, N30290, N18350, N43361, N46037, N51489, N25471
U12325: N32533, N47380, N13980, N28324, N29930, N48351, N22977, N27342, N41006, N38733, N31884, N41387, N38381, N22624, N41714, N15279, N42196, N52835, N53443, N33
U12345: N49279, N27079, N53013, N28324, N47902, N21310, N62518, N46923, N24109, N39184, N48084, N15194, N7010, N52329, N18708, N20576, N45017, N16461, N39015, N20614
U12367: N41673, N19477, N53013, N28324, N4610, N4729, N23513, N21186, N29450, N3045, N35436, N61466, N49688, N52138, N21539, N7568, N40575, N34031, N52577, N52939
U1240: N45523, N36612, N37346, N28324, N34360, N51793, N23513, N29462, N64095, N29930, N28643, N3138, N35147, N52138, N57359, N26781, N36037, N51099, N33623, N49279
U12409: N14270, N19387, N28103, N28324, N53735, N14699, N27055, N7462, N28800, N37553, N40451, N28327, N12299, N47151, N60647, N42248, N34344, N34031, N10885, N57322
U12412: N51552, N28800, N34344, N28324, N11569, N14699, N43259, N50924, N19998, N29930, N32641, N53728, N21885, N27055, N35495, N47370, N61296, N1344, N63390, N52069
U12425: N19661, N5940, N21063, N28324, N38733, N409, N3131, N57041, N13408, N37553, N36689, N9734, N3126, N22624, N49180, N41006, N2704, N16461, N28420, N7901
U12430: N45988, N46441, N37458, N28324, N41658, N15043, N52138, N48539, N27891, N18485, N32641, N20764, N41065, N3957, N48351, N41221, N11931, N47433, N61973, N9806
U12452: N36673, N7470, N53013, N28324, N29369, N30717, N28150, N23675, N17998, N27532, N301, N5519, N19298, N48729, N53524, N31782, N9846, N47433, N35671, N51570
U12460: N23446, N11681, N53013, N28324, N38733, N56051, N22457, N61811, N5940, N14170, N301, N5519, N51700, N48729, N49180, N20764, N61969, N51187, N42890, N42457
