U10008, iter_0: N19998, N33469, N59307, N8709, N32536, N61296, N60939, N17672, N28103, N17342, N33212, N32641, N58660, N38869, N34817, N48455, N4128, N27079, N20478, N31294
U10075, iter_0: N21290, N16725, N59908, N24424, N16431, N30288, N2704, N8162, N61296, N56347, N3865, N38882, N45561, N40221, N50775, N45017, N38333, N33326, N59653, N59494
U10086, iter_0: N35671, N2062, N45017, N27079, N38797, N6056, N41497, N48077, N9846, N59526, N35252, N34081, N22456, N45612, N33623, N8162, N36916, N48407, N48487, N8907
U10103, iter_0: N18151, N6471, N14170, N53754, N33469, N59908, N46203, N53335, N775, N53168, N64095, N56211, N15331, N58264, N49878, N27079, N6056, N63390, N5886, N24617
U10103, iter_1: N52492, N53011, N4610, N33326, N53735, N54571, N4107, N28281, N25583, N18310, N24424, N32073, N1539, N11569, N13498, N51187, N56270, N32641, N16725, N3293
U10103, iter_2: N38053, N39463, N9971, N58656, N53728, N61593, N61466, N46037, N23918, N29722, N52312, N29920, N60105, N60472, N11551, N46501, N43646, N62820, N33831, N29930
U10103, iter_3: N16126, N11269, N23513, N36545, N41380, N29856, N62532, N61326, N17807, N17031, N4505, N56620, N15738, N16138, N15369, N30553, N45283, N27831, N56075, N9306
U10103, iter_4: N6873, N1663, N42670, N22456, N53001, N16577, N60599, N53910, N35252, N64273, N41172, N58660, N30639, N13941, N46586, N61951, N21063, N52835, N60027, N23603
U10133, iter_0: N21590, N11551, N61970, N58264, N33120, N40468, N18295, N41172, N64372, N61472, N11289, N279, N47433, N52492, N59385, N60472, N6056, N64077, N51187, N53910
U10133, iter_1: N7470, N26262, N10869, N23184, N43955, N50657, N59685, N47087, N44640, N43460, N39149, N54571, N47652, N58030, N47553, N7568, N64606, N56132, N47216, N8889
U10133, iter_2: N31884, N4290, N1539, N17778, N47380, N14809, N56471, N46917, N59526, N42196, N19536, N15559, N35671, N677, N40451, N53013, N24424, N12843, N36408, N36425
U10152, iter_0: N18295, N61970, N43646, N39298, N64077, N15559, N37346, N26057, N62207, N26781, N64372, N28281, N44645, N26792, N5085, N13498, N25015, N37146, N13640, N8889
U1017, iter_0: N16725, N42670, N46178, N17360, N30689, N56347, N9135, N48407, N103, N59908, N37500, N40899, N31179, N28571, N34344, N58129, N18151, N24109, N40324, N15194
U10182, iter_0: N49955, N41387, N61541, N30345, N55555, N45017, N1914, N33326, N24109, N58656, N9734, N34601, N31454, N23184, N60105, N38556, N3007, N29364, N39932, N40670
U10182, iter_1: N59526, N41497, N35671, N28324, N33623, N775, N49038, N61929, N36689, N19536, N42196, N63390, N1091, N54439, N43361, N62393, N51867, N4107, N64469, N31294
U10182, iter_2: N34130, N18850, N4404, N57244, N38053, N35486, N1495, N36980, N41400, N38442, N22483, N21030, N15066, N12324, N40943, N5940, N50658, N34925, N11942, N39742
U10185, iter_0: N26537, N46203, N61296, N31556, N59908, N46501, N16725, N2704, N53335, N53308, N53910, N53013, N49973, N279, N4107, N25163, N41285, N2994, N30288, N11551
U10185, iter_1: N15331, N57451, N15194, N34805, N59653, N59685, N52202, N17952, N52502, N18332, N53728, N27891, N32786, N33469, N29920, N37007, N24467, N24701, N62820, N45017
U10185, iter_2: N57521, N48455, N40221, N42890, N38797, N27906, N13498, N54437, N58129, N47848, N29627, N9846, N47433, N59526, N63546, N28324, N4556, N34344, N42499, N59307
U1019, iter_0: N42223, N39463, N38797, N46037, N29450, N35619, N35252, N53201, N17360, N38333, N43438, N40956, N41498, N52588, N53335, N47553, N61970, N53011, N34031, N31556
U10191, iter_0: N58030, N42223, N18350, N33831, N24467, N44249, N1344, N9734, N46441, N3138, N46037, N47370, N29364, N13498, N38053, N55555, N27866, N11083, N34601, N4754
U10195, iter_0: N6767, N24617, N8907, N59960, N8595, N46037, N31036, N1663, N28983, N40221, N31556, N26537, N52588, N11681, N60472, N677, N43822, N55229, N9527, N7017
U10201, iter_0: N61929, N42890, N16461, N4556, N45612, N61241, N43646, N44417, N37458, N11359, N62894, N38733, N12613, N54439, N52492, N52577, N13980, N53013, N56211, N57225
U10201, iter_1: N40752, N62750, N37553, N63746, N16914, N38504, N38882, N52588, N5693, N24424, N31014, N8711, N18895, N27866, N27906, N29533, N19477, N25837, N279, N32073
U10201, iter_2: N41675, N62673, N45500, N17355, N1768, N3957, N53335, N52742, N56313, N56645, N57244, N56132, N47198, N60663, N15279, N50058, N50776, N35216, N19025, N23557
U10218, iter_0: N22690, N26488, N55531, N49973, N38556, N2994, N18151, N59067, N4661, N40575, N279, N39298, N61466, N55397, N13640, N55723, N40356, N21290, N51875, N3865
U10233, iter_0: N6056, N26262, N53335, N45017, N19477, N34081, N16725, N43460, N25163, N8711, N4107, N18312, N24424, N3416, N11652, N5940, N17510, N46501, N46203, N40356
U10233, iter_1: N33469, N29363, N52502, N1539, N15331, N48077, N20478, N32393, N48455, N36689, N59908, N20576, N21941, N47433, N49038, N61623, N32073, N48487, N12613, N41285
U10233, iter_2: N23513, N27869, N15838, N17252, N60663, N42981, N6837, N19050, N22624, N5886, N55885, N33630, N15469, N46749, N4485, N61466, N61079, N747, N53528, N51005
U10233, iter_3: N41497, N50372, N48084, N22456, N42670, N26063, N30536, N29268, N35238, N30689, N30288, N2704, N51187, N46783, N45960, N61929, N35671, N43646, N53013, N41172
U10233, iter_4: N21290, N31395, N32221, N53728, N40670, N40324, N46178, N58264, N34601, N32708, N60105, N9971, N23184, N40468, N31556, N60472, N47553, N3138, N53910, N52492
U10239, iter_0: N56459, N2704, N13498, N21063, N11092, N27219, N64077, N27553, N28152, N55392, N53756, N16066, N61472, N20764, N25992, N53470, N29217, N61466, N61040, N32918
U10259, iter_0: N53308, N39109, N8711, N27906, N40575, N50775, N28983, N11931, N37458, N46203, N62001, N27553, N10367, N52009, N18151, N11041, N37346, N45612, N37266, N42196
U10265, iter_0: N51187, N7568, N45612, N59067, N61969, N18332, N26537, N47553, N47902, N24424, N11931, N59653, N8711, N30288, N31782, N31556, N45017, N47572, N3865, N62001
U10285, iter_0: N41658, N40468, N53013, N43386, N62001, N56804, N55723, N38797, N3416, N27936, N9846, N43646, N28983, N20816, N14990, N17342, N51033, N26488, N21590, N49878
U10296, iter_0: N44249, N61623, N53335, N18571, N52835, N13498, N1952, N33326, N53168, N53011, N40451, N35671, N29091, N38797, N775, N59526, N33469, N38733, N48487, N5886
U1030, iter_0: N61970, N11551, N41006, N27866, N28072, N557, N34601, N5693, N34495, N56456, N31423, N31395, N60105, N5940, N49712, N46037, N8162, N4661, N21290, N23184
U1030, iter_1: N13498, N52835, N43646, N39399, N5886, N8711, N16461, N53013, N57403, N31014, N13640, N24424, N62001, N28324, N4107, N43386, N56804, N26537, N59908, N18295
U1030, iter_2: N53308, N24275, N42196, N50565, N10541, N61296, N59960, N62170, N45612, N44166, N61969, N52201, N57001, N18151, N13980, N20394, N40221, N52492, N3996, N55229
U1030, iter_3: N20333, N30105, N5329, N39389, N39346, N61595, N53122, N14169, N61981, N29393, N11771, N29462, N39949, N29553, N2960, N39832, N398, N61787, N61754, N29801
U1030, iter_4: N61623, N33623, N55723, N57521, N59526, N19536, N20816, N46917, N18312, N52764, N42877, N1477, N38053, N38142, N54136, N38504, N38733, N63390, N29364, N29533
U10306, iter_0: N5940, N49712, N4680, N1185, N27866, N18312, N32708, N8162, N14257, N39399, N24467, N56347, N32239, N5693, N62001, N57888, N11551, N13980, N21290, N20601
U10306, iter_1: N48077, N48084, N706, N63390, N28643, N38898, N4290, N19321, N13640, N25163, N45017, N49038, N9846, N3380, N28281, N4107, N38797, N53910, N61623, N64954
U10306, iter_2: N51187, N37346, N5886, N16461, N34081, N49878, N13347, N40221, N33326, N25837, N31014, N13498, N43361, N56434, N53011, N46203, N43822, N64372, N44645, N64077
U10306, iter_3: N24675, N36414, N2712, N54171, N52294, N38599, N51745, N53004, N41881, N21297, N48578, N30712, N30290, N64802, N59868, N25605, N17368, N49634, N39424, N20903
U10306, iter_4: N26781, N55555, N31423, N20507, N34457, N16477, N39298, N49001, N35252, N62436, N38053, N5085, N34601, N38504, N7470, N49834, N41387, N3416, N46037, N46379
U10311, iter_0: N55723, N11551, N38142, N7826, N17510, N34031, N52835, N35671, N33469, N54439, N47848, N1344, N16461, N16914, N6994, N44903, N8709, N28324, N3416, N60027
U10332, iter_0: N39463, N19477, N18332, N11652, N18485, N53335, N38333, N53011, N17936, N59960, N60059, N34031, N31454, N5693, N2235, N47370, N10379, N30834, N62820, N26762
U10338, iter_0: N40906, N24424, N28983, N29722, N15194, N28327, N13640, N60472, N26262, N23184, N19477, N31454, N3007, N11652, N36612, N3841, N62001, N28324, N62092, N46178
U10338, iter_1: N11551, N59526, N53011, N40468, N53335, N47433, N64954, N63860, N11289, N43386, N46037, N34805, N45017, N7173, N48717, N40575, N16804, N44249, N33623, N33326
U10338, iter_2: N21590, N5886, N43646, N63546, N37346, N4107, N56270, N61296, N52201, N49038, N2994, N13498, N34081, N43361, N64077, N28281, N21063, N57403, N11092, N47190
U10404, iter_0: N34457, N28983, N24109, N3007, N1185, N43646, N26762, N62170, N7568, N5693, N60472, N39399, N18332, N56270, N12477, N13640, N31556, N11289, N18485, N39463
U1045, iter_0: N28103, N32073, N45754, N46037, N51187, N4107, N56270, N43361, N44249, N8162, N18151, N24424, N9846, N41285, N45612, N53013, N45017, N5886, N62001, N60599
U1045, iter_1: N34953, N33623, N56471, N3138, N46915, N4680, N45793, N45561, N53593, N41497, N53630, N53837, N20601, N2062, N63390, N7826, N15194, N12843, N50058, N9135
U1045, iter_2: N60472, N1344, N3416, N38797, N53308, N49038, N11551, N308, N39932, N41400, N29217, N55723, N26488, N39399, N2994, N51099, N30288, N57034, N16725, N17510
U10450, iter_0: N1952, N45017, N5886, N20394, N48049, N29217, N11569, N936, N6371, N44640, N59960, N46783, N28800, N49878, N31014, N44645, N64933, N50657, N20478, N20576
U10451, iter_0: N26057, N49712, N28103, N43438, N40221, N21290, N47553, N24275, N43646, N4107, N45017, N53815, N8162, N40575, N46501, N34081, N47572, N47975, N21142, N32073
U10455, iter_0: N27553, N31556, N16725, N41006, N15811, N45017, N43438, N59908, N31179, N28571, N61969, N46037, N38869, N17510, N23184, N44249, N24424, N6056, N8711, N58129
U10474, iter_0: N43646, N49973, N64077, N59003, N18794, N40670, N36408, N1575, N103, N55229, N60472, N18295, N37146, N56217, N6916, N37272, N32239, N51099, N5519, N13498
U10478, iter_0: N13640, N47572, N61970, N53910, N58264, N43646, N26792, N557, N38504, N47370, N15194, N2235, N4680, N26781, N40985, N24109, N41064, N40670, N45017, N26057
U10482, iter_0: N41285, N4287, N1344, N53910, N33469, N62001, N31556, N19025, N58251, N34805, N9527, N22456, N53754, N4610, N13498, N59526, N775, N11289, N61973, N60472
U10491, iter_0: N32489, N59908, N19623, N28281, N27891, N6371, N16914, N52929, N42890, N11569, N33469, N45017, N4107, N53335, N35436, N8709, N34817, N308, N53837, N53011
U10507, iter_0: N1477, N26762, N17936, N9321, N47902, N39298, N11652, N52492, N61970, N18485, N39463, N14252, N18332, N62820, N16461, N7568, N53335, N60059, N64372, N37146
U10516, iter_0: N11930, N58264, N706, N60550, N11569, N22975, N60192, N279, N33120, N1952, N24424, N56211, N33469, N35671, N52492, N12330, N48077, N48049, N42670, N27079
U10524, iter_0: N5886, N40451, N4128, N33469, N13640, N64095, N19998, N53335, N51187, N31789, N12843, N53910, N18151, N28800, N40221, N17672, N60264, N16461, N52502, N30929
U1053, iter_0: N33469, N48084, N39184, N24424, N53335, N59960, N63860, N53001, N20177, N46037, N41547, N21063, N38869, N31294, N1952, N19536, N38901, N61970, N11823, N35252
U10585, iter_0: N936, N51187, N6371, N50775, N1663, N20576, N65103, N60472, N23603, N58251, N24275, N18978, N8375, N35436, N6873, N15279, N1371, N19025, N61973, N11569
U10585, iter_1: N9321, N62820, N17952, N5886, N33634, N37346, N53308, N24109, N5693, N38869, N55397, N63746, N28983, N45017, N33326, N1914, N4857, N12330, N29722, N9118
U10585, iter_2: N47652, N8595, N38142, N30422, N33526, N10885, N7112, N14809, N24424, N42670, N48077, N30639, N27891, N29217, N28103, N775, N49038, N29322, N48084, N44417
U10604, iter_0: N30929, N47652, N19623, N33469, N34953, N59526, N60264, N14333, N40575, N936, N51187, N11015, N62393, N64372, N775, N4905, N46586, N20576, N48084, N4610
U10604, iter_1: N8889, N21156, N38504, N58354, N53335, N53443, N23194, N23682, N37458, N35252, N28983, N59385, N62436, N6916, N24424, N61970, N34457, N31782, N12330, N27532
U10604, iter_2: N5886, N49038, N38901, N8711, N31294, N28129, N11041, N30536, N34031, N16461, N60472, N2994, N43822, N64077, N29217, N31014, N308, N4107, N52201, N20984
U10611, iter_0: N18943, N4913, N8711, N35671, N21381, N39998, N64835, N27932, N42233, N26370, N43361, N48843, N45462, N23657, N41400, N23557, N8162, N54571, N49038, N53476
U10635, iter_0: N27866, N28072, N64372, N6056, N45017, N39932, N13498, N43646, N51187, N18295, N44645, N4107, N64077, N18312, N24686, N16725, N44249, N37146, N30345, N60599
U10635, iter_1: N14170, N48077, N64469, N54571, N5576, N36689, N59367, N44903, N28129, N43361, N33212, N7112, N13916, N11289, N41285, N1539, N64954, N57403, N40451, N15559
U10635, iter_2: N22595, N6837, N38371, N46592, N57005, N31509, N32923, N20426, N12403, N22036, N5940, N63014, N15194, N6979, N37384, N57764, N48151, N43102, N51725, N3589
U10635, iter_3: N63550, N28855, N37702, N33469, N5288, N23767, N52102, N27307, N26330, N21825, N45980, N53717, N977, N34459, N36779, N34185, N59981, N29462, N56194, N49940
U10635, iter_4: N47087, N46703, N41064, N53593, N38556, N31423, N40670, N25015, N1860, N18895, N36249, N36612, N49712, N18151, N19685, N62820, N4680, N32073, N4661, N20507
U10674, iter_0: N63746, N36612, N51187, N64372, N46037, N11931, N62207, N5085, N28072, N51690, N57403, N21063, N62820, N5886, N45017, N64954, N61970, N42877, N37272, N63546
U10700, iter_0: N46203, N26792, N18151, N3996, N21290, N53593, N20394, N61541, N61466, N47553, N44249, N46037, N43301, N5693, N34344, N36249, N37266, N32239, N47433, N47572
U10700, iter_1: N29363, N61241, N31676, N32641, N1091, N41658, N49878, N23559, N57225, N36689, N53910, N46917, N60041, N42499, N24424, N64469, N38898, N34953, N54439, N8709
U10700, iter_2: N15811, N15194, N42248, N29364, N43438, N42877, N33326, N24467, N3541, N50775, N57034, N39109, N40324, N63546, N43386, N46915, N38869, N9734, N16117, N50565
U10703, iter_0: N6767, N32641, N20816, N63255, N55229, N6371, N936, N47380, N35725, N26537, N12682, N40221, N29217, N27906, N39149, N8907, N52588, N60550, N59908, N53013
U10703, iter_1: N29722, N2994, N25163, N557, N11289, N24424, N17360, N62170, N55531, N44249, N46203, N46037, N21681, N61466, N8162, N49878, N61040, N64077, N61296, N31423
U10703, iter_2: N38915, N43438, N27738, N19536, N31289, N19433, N38901, N17998, N47652, N4556, N48077, N12330, N1371, N3293, N64859, N52577, N40575, N41400, N4610, N41621
U10729, iter_0: N33120, N58264, N279, N50372, N27936, N41172, N61623, N23602, N27079, N45754, N26488, N40468, N52764, N26584, N4107, N6532, N41497, N706, N64273, N18151
U10742, iter_0: N30288, N23603, N16725, N6371, N46203, N33326, N22975, N53011, N32277, N59908, N33469, N19004, N45017, N28851, N52764, N42890, N57034, N53335, N19433, N36916
U10773, iter_0: N64273, N24213, N33469, N28851, N41497, N28983, N8907, N48487, N6209, N58070, N49609, N41400, N48407, N23559, N35671, N22975, N59526, N27079, N2704, N64744
U10822, iter_0: N58264, N33634, N64606, N40899, N47087, N40078, N41172, N28448, N43460, N47433, N23184, N56456, N31679, N11083, N26488, N24686, N17952, N28327, N279, N5886
U10822, iter_1: N53630, N11569, N1539, N41658, N42670, N1575, N33469, N14809, N48487, N6767, N44166, N31676, N52588, N59908, N53335, N29363, N53001, N11931, N6873, N7173
U10822, iter_2: N44249, N2994, N28324, N46037, N51099, N39399, N21590, N52835, N34031, N41400, N51187, N308, N25163, N43386, N16461, N38797, N1344, N11551, N43508, N5370
U1083, iter_0: N29450, N52312, N57001, N53011, N49712, N24109, N38333, N9135, N35619, N56347, N53335, N42877, N52299, N16461, N39399, N3541, N45017, N15194, N23409, N56270
U10855, iter_0: N52502, N52764, N32641, N34805, N38142, N40221, N30288, N43646, N44640, N33469, N52929, N36916, N44765, N43438, N30929, N8709, N43984, N27079, N52201, N38915
U10862, iter_0: N53910, N35436, N15331, N35671, N12703, N62393, N58264, N33212, N17234, N16461, N54136, N33877, N59526, N33326, N19623, N26130, N30929, N50657, N27079, N47848
U10866, iter_0: N58264, N34031, N59385, N44249, N2994, N33120, N55723, N16461, N38797, N61623, N36408, N46037, N17510, N51187, N35252, N39399, N41172, N308, N43386, N45754
U10868, iter_0: N38142, N279, N33469, N25130, N64077, N53335, N7017, N55229, N16680, N44765, N8375, N33212, N21590, N52492, N1344, N18295, N64372, N44645, N48659, N46586
U10906, iter_0: N15559, N11551, N20331, N28983, N50775, N19477, N3007, N18295, N60472, N59653, N41221, N41285, N18449, N4661, N26762, N7568, N61363, N40468, N57888, N59908
U10909, iter_0: N48487, N56458, N4034, N14170, N936, N51690, N45017, N4905, N48077, N59981, N38733, N60192, N7112, N28643, N59367, N59960, N13498, N51187, N28983, N49878
U10910, iter_0: N1575, N37272, N41498, N56217, N29217, N64372, N64933, N39932, N60599, N43361, N4107, N1477, N50565, N5734, N57403, N55229, N28420, N64954, N28152, N61472
U10928, iter_0: N46037, N58264, N17510, N52835, N35252, N59385, N40468, N2994, N1344, N33120, N26488, N279, N41400, N47433, N41172, N34031, N61970, N3416, N61623, N38797
U10936, iter_0: N18295, N5085, N61970, N38504, N15559, N64077, N40221, N39298, N64372, N26792, N26781, N43646, N40670, N13640, N62207, N28281, N28072, N42877, N37146, N37346
U10944, iter_0: N32489, N7568, N61466, N16066, N52492, N63860, N47380, N48077, N31556, N53013, N48049, N35671, N27079, N62170, N33877, N46379, N31014, N27553, N56270, N4107
U10979, iter_0: N47902, N18485, N53593, N31454, N16066, N53335, N34360, N51187, N52492, N21142, N5085, N25015, N37346, N10379, N60059, N31782, N41006, N23409, N26762, N52312
U1098, iter_0: N28072, N43646, N34081, N57763, N8162, N8889, N34457, N60472, N16914, N13498, N27906, N35619, N50775, N30834, N57189, N37266, N45017, N11289, N26537, N38869
U1098, iter_1: N48077, N4680, N59526, N48084, N12477, N28851, N1663, N57225, N33634, N46037, N24467, N46178, N42499, N30536, N20764, N308, N28129, N54439, N62207, N41640
U1098, iter_2: N33469, N49872, N30617, N59471, N9257, N28340, N17393, N25107, N57919, N53572, N3836, N46024, N56746, N17886, N16000, N7600, N18146, N32556, N31373, N22742
U1098, iter_3: N39463, N51187, N57888, N16066, N31454, N3007, N37055, N51099, N28420, N29364, N33670, N41387, N3841, N53728, N38797, N24458, N26792, N28324, N40985, N13464
U1098, iter_4: N36425, N44903, N40752, N20325, N12843, N43246, N30929, N47216, N31289, N53308, N18020, N43361, N50657, N20394, N11931, N53735, N32139, N26271, N64077, N32277
U11007, iter_0: N13640, N37346, N51187, N33212, N56897, N20478, N33469, N34953, N32641, N44640, N40728, N40575, N44903, N22975, N34344, N53168, N43984, N53364, N4287, N43646
U11014, iter_0: N61970, N4610, N43646, N22975, N13640, N11931, N50942, N59960, N59833, N20394, N27906, N20478, N32641, N38142, N53910, N19433, N46783, N40221, N8709, N26537
U11014, iter_1: N62436, N10379, N1477, N46915, N19477, N47572, N34360, N40575, N7568, N13498, N14252, N8162, N25015, N34457, N63681, N25163, N5519, N15559, N40956, N20764
U11014, iter_2: N4290, N47652, N19536, N16804, N37346, N1663, N59526, N4107, N53735, N29363, N59876, N54018, N936, N51119, N53013, N49252, N11823, N16461, N28103, N60041
U11014, iter_3: N62844, N17531, N43975, N46236, N25678, N3268, N19635, N27979, N64741, N43772, N12403, N38371, N15285, N20003, N33957, N50389, N21950, N11817, N50619, N23792
U11014, iter_4: N61929, N59307, N54439, N30288, N41621, N45017, N43438, N1371, N50775, N19004, N30639, N52588, N21063, N48049, N31289, N27079, N35857, N26048, N31014, N23603
U1103, iter_0: N33469, N59367, N38733, N64273, N51187, N13498, N56211, N60599, N36689, N64954, N775, N10541, N52492, N59960, N48487, N57225, N52588, N64372, N11015, N13916
U11059, iter_0: N5693, N10379, N57888, N11551, N23194, N41006, N13498, N51875, N40752, N17952, N41221, N12477, N52588, N62820, N33634, N2649, N11041, N34457, N43646, N43438
U11075, iter_0: N53011, N39149, N16461, N8907, N33469, N57001, N22975, N59367, N11569, N47652, N37458, N50942, N48717, N32073, N23603, N33623, N4610, N40728, N2704, N41497
U11124, iter_0: N18151, N38556, N57403, N14252, N5940, N46178, N53335, N61593, N18571, N16725, N60105, N62750, N33831, N47902, N27866, N38053, N32239, N55723, N36249, N33326
U11124, iter_1: N59367, N14170, N53754, N31789, N47652, N47433, N27891, N41498, N52492, N56132, N44249, N57521, N5886, N775, N33623, N60244, N49878, N6056, N1371, N7173
U11124, iter_2: N4661, N56804, N64372, N4107, N43646, N58264, N39932, N3416, N59960, N13498, N56270, N26584, N38869, N53168, N62170, N13347, N27906, N3996, N25163, N11551
U11146, iter_0: N53013, N51690, N47380, N19004, N40221, N65103, N26690, N33297, N60599, N1344, N52492, N42670, N35238, N33469, N44166, N7852, N47848, N50565, N58070, N62170
U11157, iter_0: N16461, N1371, N27079, N40451, N44903, N27731, N64372, N46783, N53910, N53335, N61970, N15559, N35436, N5886, N64077, N54439, N17342, N59526, N33486, N59385
U11159, iter_0: N39184, N11789, N64744, N47216, N27891, N32393, N45793, N59526, N30929, N19998, N53335, N23603, N48717, N29627, N38142, N32277, N33486, N58251, N14802, N3045
U11165, iter_0: N21290, N40221, N41064, N38869, N38882, N39109, N26781, N2649, N60472, N46501, N46203, N46915, N13640, N26762, N47572, N40985, N46037, N41006, N5693, N49712
U11178, iter_0: N51187, N45017, N5886, N28072, N31423, N28103, N16461, N42877, N47087, N16725, N57001, N20507, N53308, N1860, N43460, N24424, N8162, N63546, N5085, N26262
U11185, iter_0: N35436, N15279, N33469, N23603, N30929, N44765, N27079, N46586, N34805, N26048, N47652, N19025, N60027, N59685, N27891, N28983, N56211, N61973, N51119, N11551
U112, iter_0: N4107, N45017, N59908, N57403, N6056, N38869, N24424, N18295, N34081, N61970, N8162, N60472, N25015, N40575, N47572, N37146, N45612, N30288, N52588, N43438
U1121, iter_0: N51690, N58024, N23180, N5223, N49541, N50179, N28420, N65221, N48025, N28152, N8889, N24062, N41548, N16117, N12488, N54845, N61466, N33953, N49191, N29004
U11232, iter_0: N6578, N17510, N2994, N19025, N55723, N63255, N59022, N18151, N38142, N33469, N26488, N29363, N52764, N11569, N46037, N27936, N45793, N3996, N11930, N44249
U11232, iter_1: N58264, N21590, N53013, N59908, N13498, N47433, N57034, N53308, N39399, N5886, N26537, N24424, N40221, N28324, N41285, N11289, N45754, N61296, N33326, N63546
U11232, iter_2: N45294, N42590, N25163, N32031, N45353, N7500, N46137, N9719, N63773, N64786, N16327, N15772, N41400, N50776, N55086, N7975, N64326, N22731, N65025, N25491
U11232, iter_3: N47792, N17952, N32053, N59337, N43115, N38780, N225, N40906, N29722, N12940, N44682, N29229, N17231, N5088, N62777, N33634, N46810, N29734, N11469, N42433
U11232, iter_4: N7568, N30345, N21290, N40078, N47848, N18063, N63860, N3293, N52502, N47652, N54136, N3380, N38053, N29541, N38556, N19536, N59067, N48077, N59307, N19321
U11250, iter_0: N57001, N6056, N53308, N18151, N16725, N32073, N34344, N24424, N26488, N41172, N56270, N37346, N45754, N34081, N49038, N46501, N53168, N43646, N52835, N27553
U11250, iter_1: N42877, N56456, N59653, N49252, N53754, N5288, N1952, N1860, N23918, N22975, N16804, N3380, N33623, N27936, N6873, N7852, N41113, N28152, N60264, N17578
U11250, iter_2: N45760, N53630, N19998, N20576, N31676, N56471, N6532, N1539, N13941, N37589, N32759, N61623, N52764, N61973, N3416, N31014, N46283, N17778, N35671, N19433
U11255, iter_0: N26537, N21681, N64372, N15559, N677, N1477, N62436, N63746, N4107, N40468, N40356, N43646, N43438, N43361, N37272, N53593, N32288, N32239, N52202, N11931
U11271, iter_0: N1539, N53013, N45017, N43822, N48077, N63860, N48049, N24424, N40221, N13640, N4287, N31789, N61970, N62033, N17778, N20478, N706, N45793, N33469, N41621
U11271, iter_1: N15331, N42670, N12703, N19321, N32277, N41497, N54437, N6209, N42890, N64273, N44640, N11681, N53335, N48084, N54136, N53910, N47652, N59367, N4556, N56458
U11271, iter_2: N19292, N42678, N6555, N35045, N11186, N12730, N23682, N22600, N26199, N51553, N10350, N28998, N45095, N17531, N56459, N20876, N33677, N59863, N16657, N3268
U11274, iter_0: N53335, N27891, N16804, N19623, N52588, N38898, N4610, N11015, N60747, N54437, N47380, N31289, N42890, N45017, N43646, N35447, N7112, N33326, N56132, N53011
U11277, iter_0: N6056, N25163, N45017, N4107, N45754, N3416, N16725, N27866, N53910, N3541, N30288, N15194, N38053, N18312, N32221, N18132, N47370, N38797, N46501, N1477
U11292, iter_0: N42670, N20816, N13464, N13408, N31423, N45163, N35619, N19433, N27866, N1914, N15331, N2062, N58251, N17672, N26488, N59653, N5288, N30689, N16577, N45561
U11304, iter_0: N20394, N62092, N38882, N38869, N40324, N40221, N17510, N3138, N26057, N58354, N61466, N24275, N56347, N34344, N24424, N47572, N45017, N43438, N43361, N1477
