U10008, iter_0: N42670, N1952, N60939, N54571, N15559, N26271, N14990, N6873, N7330, N18151, N29528, N61623, N58264, N38951, N19811, N29363, N46203, N6056, N11789, N7173
U10338, iter_0: N11289, N18295, N4107, N53013, N52835, N2159, N5886, N21681, N308, N37346, N47433, N61970, N34031, N36408, N31556, N46037, N29217, N6056, N9846, N56434
U10338, iter_1: N1067, N53815, N28725, N42670, N26262, N4290, N14170, N20507, N31789, N35725, N28643, N18485, N706, N14978, N1185, N30422, N17778, N40906, N56458, N53630
U10338, iter_2: N61296, N13347, N21590, N38797, N62393, N8711, N25163, N43386, N49878, N31014, N13498, N16461, N56217, N27906, N39399, N2994, N12330, N53011, N21063, N28324
U10404, iter_0: N38142, N29363, N50775, N43438, N56217, N26048, N35436, N11041, N30689, N26271, N42196, N36916, N8375, N14333, N22975, N18978, N1952, N14170, N41658, N15279
U1045, iter_0: N11551, N6578, N3996, N29363, N41172, N59385, N5288, N50372, N33120, N4290, N706, N33212, N30562, N20394, N308, N18151, N17234, N15559, N42670, N20576
U1045, iter_1: N47087, N24467, N3138, N23184, N61970, N35252, N16431, N51187, N279, N40324, N41006, N13640, N25163, N20507, N60472, N54587, N61363, N38869, N28983, N25774
U1045, iter_2: N33623, N19433, N19998, N34949, N7173, N4128, N58660, N3416, N6056, N56270, N37458, N52588, N61623, N20984, N16577, N16461, N48084, N17510, N59022, N52009
U10450, iter_0: N11944, N43438, N40451, N30562, N45017, N4128, N54437, N936, N14809, N308, N42890, N31884, N28640, N35725, N38869, N2994, N61970, N58264, N44640, N35238
U10451, iter_0: N16461, N35252, N34031, N43386, N3416, N53910, N38797, N36408, N279, N51187, N11551, N53335, N61970, N45754, N25163, N1344, N4661, N41400, N58264, N52835
U10455, iter_0: N51187, N6056, N59385, N1344, N58264, N34031, N16461, N61970, N53910, N3416, N41400, N44249, N4661, N2994, N61623, N5886, N47433, N55723, N17510, N45754
U10474, iter_0: N34081, N39149, N48077, N2159, N20576, N20478, N26537, N4610, N46037, N42670, N11675, N41285, N56434, N53381, N11289, N31556, N30288, N32641, N29217, N56211
U10478, iter_0: N5085, N15194, N15559, N35252, N23184, N19477, N13640, N38333, N51187, N1477, N36408, N2235, N3007, N26537, N12330, N1185, N50670, N43460, N28448, N21590
U10482, iter_0: N61466, N53013, N30288, N29722, N62001, N29364, N26762, N20394, N31454, N38869, N1185, N38504, N1914, N13464, N28725, N39109, N18485, N677, N21590, N52201
U10491, iter_0: N11551, N40752, N18332, N1344, N2235, N53815, N8162, N15559, N30288, N38869, N41064, N61466, N52776, N40324, N52312, N59653, N45612, N9409, N30401, N17952
U10507, iter_0: N19477, N11083, N47572, N38333, N46037, N26781, N61970, N38504, N2649, N55723, N49878, N37346, N28983, N20331, N31492, N21142, N28072, N29217, N11551, N1344
U10516, iter_0: N36689, N6371, N52588, N38951, N30639, N14170, N17510, N41658, N4107, N55229, N10541, N62393, N43438, N47190, N60531, N59385, N1952, N17234, N44640, N61241
U10524, iter_0: N50657, N35436, N28983, N8162, N46586, N44765, N40752, N5288, N7826, N46037, N34031, N6532, N4661, N54437, N48487, N58660, N20576, N7330, N279, N21681
U1053, iter_0: N1663, N57225, N16461, N31289, N19536, N14809, N53364, N6578, N47652, N58070, N61973, N57521, N59876, N54439, N34953, N11569, N8711, N63860, N59367, N42890
U10585, iter_0: N38869, N62001, N8162, N40221, N30288, N1344, N59960, N61970, N28983, N37346, N27906, N60472, N15559, N24275, N43646, N53335, N61296, N51187, N58264, N53011
U10585, iter_1: N23460, N64894, N56645, N40923, N5796, N4254, N761, N60663, N17363, N24190, N14194, N63828, N19477, N53561, N51009, N24532, N50713, N6371, N53222, N60647
U10585, iter_2: N53013, N8711, N308, N40752, N36408, N18151, N43361, N44166, N36037, N59908, N279, N39109, N25837, N20394, N50775, N46037, N53910, N47190, N61623, N56217
U10604, iter_0: N1344, N2994, N16461, N40221, N8711, N9846, N28983, N58264, N18295, N31014, N44645, N21681, N46203, N279, N43361, N49038, N37146, N8162, N24275, N62001
U10604, iter_1: N16804, N47370, N7112, N19025, N18485, N46441, N26762, N13941, N47380, N8657, N35238, N60041, N15194, N39463, N60531, N48084, N59526, N31884, N48077, N46586
U10604, iter_2: N33474, N56501, N29292, N25064, N29004, N7419, N24062, N38550, N63231, N2872, N36288, N15469, N32548, N39796, N43822, N28638, N33828, N11940, N21030, N60472
U10611, iter_0: N20576, N37272, N39184, N64273, N15279, N6471, N19536, N55723, N35671, N20478, N15559, N12843, N6056, N36689, N56434, N4107, N32641, N45612, N19811, N11551
U10635, iter_0: N6873, N1952, N5886, N11944, N63255, N45017, N31884, N6056, N46917, N44249, N13498, N18151, N28983, N38869, N62001, N6578, N50775, N35252, N11681, N37346
U10635, iter_1: N36249, N31423, N40899, N3841, N55555, N22664, N33120, N15811, N11289, N33831, N34360, N13640, N25015, N61760, N8162, N53011, N59960, N34457, N13347, N63681
U10635, iter_2: N7173, N5576, N48084, N19025, N51187, N63546, N57403, N31556, N33623, N35857, N61973, N53335, N56217, N31036, N20325, N33212, N52835, N59526, N28129, N2994
U10635, iter_3: N36332, N16126, N6074, N36545, N43143, N34844, N33113, N19592, N62128, N48151, N21292, N35486, N31917, N16553, N40185, N35147, N48476, N19057, N53406, N61483
U10635, iter_4: N59022, N56211, N59385, N7330, N26271, N22975, N60550, N22456, N58660, N4128, N8907, N63860, N20478, N40752, N14990, N64933, N60264, N61623, N48717, N53910
U10674, iter_0: N43460, N61296, N6916, N45612, N36612, N36408, N60472, N13640, N24458, N37055, N60105, N28072, N38869, N19477, N34344, N39399, N52201, N37346, N8657, N1860
U10700, iter_0: N44249, N21590, N3007, N21142, N28725, N27532, N51875, N52835, N18151, N53910, N51187, N3416, N5886, N1189, N3841, N17936, N31556, N37500, N24109, N23409
U10700, iter_1: N6873, N63255, N59022, N18310, N45017, N6578, N28983, N7330, N7826, N31789, N1952, N38901, N59960, N32073, N60192, N56211, N42670, N26063, N31978, N8709
U10700, iter_2: N40899, N41400, N11551, N31679, N57888, N54587, N53011, N26792, N62393, N32239, N46915, N8162, N43386, N1344, N15559, N55397, N27866, N308, N42196, N47433
U10703, iter_0: N43438, N28420, N11041, N49038, N52588, N55531, N61466, N26537, N10541, N29217, N1477, N41285, N2704, N25837, N8657, N53013, N47572, N43361, N8889, N27532
U10703, iter_1: N46917, N21590, N58354, N60550, N57888, N51875, N48717, N63860, N38882, N6532, N37553, N31289, N20325, N1667, N16066, N43386, N3380, N49252, N7568, N6767
U10703, iter_2: N1344, N34031, N52835, N25163, N46037, N2994, N5886, N39399, N44249, N16461, N51187, N51099, N308, N11551, N47433, N41400, N38797, N53222, N22908, N12588
U10729, iter_0: N13865, N40575, N42670, N59385, N26537, N60550, N58070, N14333, N20478, N40468, N21039, N1539, N58264, N50484, N19004, N47848, N20236, N41400, N60472, N9846
U10742, iter_0: N52577, N1952, N30562, N45760, N60264, N39932, N11823, N11681, N29217, N4107, N18295, N35725, N35671, N54018, N27906, N3416, N14170, N15279, N6578, N32641
U10773, iter_0: N29722, N51875, N40078, N21142, N5886, N15559, N52835, N18312, N6916, N53011, N28072, N43460, N6056, N55723, N26262, N34495, N18295, N3416, N13640, N308
U10822, iter_0: N53630, N47433, N58264, N38951, N1539, N34031, N29541, N2994, N41400, N11551, N55830, N43386, N35725, N59526, N16725, N64335, N38898, N64095, N43246, N18295
U10822, iter_1: N3234, N26415, N41627, N28523, N811, N3489, N64816, N40468, N5370, N60726, N63475, N42666, N56278, N23455, N13944, N51005, N34490, N28983, N50076, N35047
U10822, iter_2: N26262, N38311, N22575, N8657, N64606, N62750, N15194, N38556, N46203, N56456, N37589, N11681, N46379, N41387, N61593, N13865, N53754, N11289, N6371, N47370
U1083, iter_0: N38797, N55723, N51187, N61970, N61623, N39399, N5886, N16461, N6056, N46037, N1344, N11551, N58264, N36408, N2994, N4661, N28324, N47433, N41400, N26488
U10855, iter_0: N19477, N12330, N17510, N55531, N26762, N52588, N43400, N24275, N39463, N22575, N15194, N27532, N37272, N62207, N42223, N40752, N47553, N16725, N14257, N18485
U10862, iter_0: N15194, N103, N22664, N58030, N50670, N19477, N61363, N59867, N26762, N28072, N3138, N29364, N34004, N60105, N34495, N26262, N38504, N41640, N37553, N7568
U10866, iter_0: N38311, N8162, N4107, N37272, N34081, N28281, N40670, N29217, N61466, N27906, N57403, N8657, N18295, N49878, N49955, N38882, N55397, N24686, N37146, N55229
U10868, iter_0: N1952, N8162, N28983, N61973, N44765, N17510, N706, N50484, N46738, N6056, N34344, N21590, N37458, N56270, N15279, N64744, N14990, N3416, N50453, N63255
U10906, iter_0: N1952, N63681, N25583, N6578, N38142, N13640, N34344, N17952, N23409, N7112, N20576, N26057, N8162, N2235, N50484, N19536, N28725, N49001, N6916, N29364
U10909, iter_0: N37272, N16725, N37146, N21681, N11289, N64954, N63546, N8162, N15559, N18295, N18151, N28983, N31556, N16914, N58129, N52492, N56270, N55229, N60472, N44645
U10910, iter_0: N28059, N61061, N25124, N37783, N57764, N19292, N22731, N24985, N26023, N46892, N56746, N64120, N61970, N25064, N565, N62632, N39094, N42604, N6816, N46219
U10928, iter_0: N27906, N2159, N6578, N59685, N60041, N54437, N33505, N44249, N34031, N44765, N11681, N60531, N58251, N58264, N43438, N53735, N32196, N28983, N18295, N20394
U10936, iter_0: N11551, N58264, N279, N26488, N45754, N59385, N1344, N4661, N2994, N21590, N61970, N6056, N41400, N46037, N61623, N47433, N16461, N52835, N28324, N25163
U10944, iter_0: N51187, N16461, N34031, N61970, N44249, N46037, N40468, N39399, N58264, N25163, N17510, N6056, N3416, N2994, N53910, N41400, N5886, N308, N1344, N52835
U10979, iter_0: N4661, N47433, N61970, N28324, N46037, N59385, N41400, N34031, N11551, N51187, N38797, N53910, N1344, N43386, N17510, N58264, N52835, N61623, N6056, N55723
U1098, iter_0: N20394, N39109, N1952, N46917, N27906, N43646, N40221, N11681, N57403, N31014, N6767, N59908, N18295, N32277, N17672, N31556, N50484, N50058, N51489, N53308
U1098, iter_1: N61466, N5519, N64933, N52299, N31492, N21142, N34081, N8162, N19477, N4107, N51187, N8711, N40078, N64077, N60472, N46915, N64372, N51581, N45163, N43438
U1098, iter_2: N34852, N25323, N21826, N48490, N64469, N3190, N19661, N42723, N14333, N37587, N28592, N52020, N3256, N48049, N14359, N15559, N20688, N44645, N34490, N55943
U1098, iter_3: N5085, N11961, N3704, N24480, N51700, N35200, N21253, N33347, N54442, N13498, N46132, N16854, N55747, N4485, N1364, N2563, N60779, N56023, N49467, N39094
U1098, iter_4: N16804, N52577, N59307, N32489, N35447, N11944, N35238, N46783, N10278, N56897, N58070, N53364, N60939, N47190, N50775, N54439, N34805, N29217, N4610, N37346
U11007, iter_0: N47652, N14333, N26537, N47190, N36425, N27906, N12843, N38142, N35436, N14809, N19025, N38901, N59526, N46917, N8162, N1663, N8709, N50657, N49609, N53687
U11014, iter_0: N19477, N37346, N63681, N13498, N25837, N13640, N47370, N37500, N52201, N46203, N3865, N45017, N41006, N61970, N53011, N40221, N41113, N4661, N308, N8889
U11014, iter_1: N6578, N46783, N46917, N59307, N4107, N14809, N20394, N1344, N53001, N56211, N1539, N6056, N56458, N28103, N24275, N11551, N6642, N47380, N28281, N58264
U11014, iter_2: N38504, N58030, N28072, N24109, N34344, N9971, N53515, N17936, N27906, N8162, N61466, N17360, N16477, N59908, N30288, N16461, N43361, N41400, N1860, N19387
U11014, iter_3: N15051, N56545, N41179, N29905, N48340, N1989, N49940, N48448, N5329, N9360, N55198, N29578, N28539, N53223, N54593, N49831, N43083, N7246, N43222, N37391
U11014, iter_4: N61296, N57888, N25774, N11289, N6916, N56456, N32708, N11041, N41064, N53298, N8711, N60105, N28725, N56217, N43460, N18332, N2235, N1667, N18312, N24467
U1103, iter_0: N61541, N15811, N24686, N30345, N52588, N3416, N5886, N64606, N55723, N29722, N40906, N6056, N53335, N55555, N31782, N21681, N52835, N37500, N18312, N40752
U11059, iter_0: N44645, N47380, N40752, N63860, N43438, N37146, N41285, N43400, N53013, N17672, N16914, N50775, N26537, N54437, N11551, N61969, N7826, N48049, N30288, N48077
U11075, iter_0: N33623, N57521, N52577, N48077, N26488, N35725, N677, N16577, N24424, N60472, N59367, N47652, N64273, N6767, N30288, N43438, N17234, N13941, N28851, N30562
U11124, iter_0: N44249, N31978, N61623, N47216, N4610, N5886, N677, N51187, N46586, N59367, N11551, N58264, N41172, N24617, N59022, N54571, N38797, N52835, N64095, N4290
U11124, iter_1: N46917, N56211, N17234, N31789, N7173, N63255, N60550, N46203, N54439, N52588, N48077, N53308, N59833, N48487, N5576, N18151, N19623, N47652, N3045, N53001
U11124, iter_2: N29722, N11083, N24109, N28072, N55397, N55555, N51581, N17952, N24686, N41387, N58030, N27866, N30345, N18312, N57888, N1067, N28281, N5940, N41006, N3416
U11146, iter_0: N46501, N47553, N10541, N26762, N40221, N26584, N62170, N42196, N8711, N53013, N18295, N45017, N44645, N59960, N55229, N37553, N14257, N59653, N47370, N41285
U11157, iter_0: N44903, N4128, N6532, N12843, N51489, N16680, N54752, N26690, N6471, N46130, N31939, N32393, N31978, N34031, N39149, N57888, N13916, N34457, N64744, N16477
U11159, iter_0: N8162, N53013, N11652, N30288, N16914, N5519, N34081, N28420, N60059, N35619, N59653, N2704, N58354, N2159, N7470, N20507, N45561, N52299, N59908, N28152
U11165, iter_0: N31789, N34949, N43246, N56804, N11944, N44417, N57403, N49252, N26271, N6471, N47087, N38869, N38733, N60939, N52502, N7961, N31939, N12682, N11092, N706
U11178, iter_0: N1477, N41285, N52776, N4754, N6916, N49973, N4107, N43460, N18485, N37272, N42877, N40752, N26537, N40078, N23184, N13347, N37458, N27866, N64606, N16725
U11185, iter_0: N15279, N35436, N46586, N19623, N34805, N1539, N47216, N44765, N56897, N4610, N35252, N61973, N24617, N6371, N34081, N50775, N43438, N19025, N46501, N53735
U112, iter_0: N40078, N37007, N2235, N26057, N23409, N10869, N26537, N26762, N43438, N31179, N29364, N41387, N26488, N14252, N18485, N58030, N39463, N32288, N49001, N19477
U1121, iter_0: N26537, N46037, N46130, N24424, N7568, N28725, N37272, N37553, N31454, N10869, N1477, N43361, N31556, N18895, N40752, N64077, N44166, N38333, N42196, N21710
U11232, iter_0: N16914, N37589, N52835, N60264, N14990, N30288, N25163, N1539, N8907, N2994, N7826, N6873, N29363, N32073, N44417, N42670, N18151, N51187, N18020, N31978
U11232, iter_1: N47380, N41400, N47433, N31036, N11551, N35436, N48077, N44249, N13347, N5886, N30422, N32196, N43386, N53381, N21590, N63390, N301, N7173, N48084, N19536
U11232, iter_2: N18312, N53013, N56270, N37055, N40985, N16477, N9409, N13640, N40899, N37500, N24109, N62092, N28327, N13498, N24424, N62170, N9734, N26762, N31014, N53515
U11232, iter_3: N61817, N52782, N40906, N32207, N64459, N53686, N12029, N25127, N46810, N17070, N28751, N62949, N57104, N51005, N47792, N55913, N28895, N44460, N42590, N41551
U11232, iter_4: N54136, N19025, N63255, N1952, N31556, N14802, N45017, N26271, N28983, N677, N52588, N41172, N58264, N59960, N50484, N16725, N56217, N58660, N41285, N936
U11250, iter_0: N279, N61623, N53308, N2994, N45754, N41172, N52835, N13347, N38797, N28103, N51187, N6056, N47433, N18291, N32073, N41400, N20394, N33120, N308, N4661
U11250, iter_1: N1667, N54752, N48487, N20325, N44417, N29369, N23184, N49252, N15194, N59981, N5576, N22975, N35671, N2062, N40899, N49712, N28420, N56270, N13498, N38053
U11250, iter_2: N54571, N4556, N59022, N7173, N19998, N6767, N59908, N45960, N60244, N42499, N16461, N62894, N54437, N59367, N48717, N19004, N46501, N31676, N27936, N15559
U11255, iter_0: N61969, N27906, N37346, N52492, N20764, N58129, N30288, N53013, N8162, N20236, N41285, N16914, N12477, N49038, N46037, N45561, N9734, N28420, N23682, N23918
U11271, iter_0: N29533, N1344, N43438, N33326, N10869, N31782, N53593, N24109, N43361, N46203, N19477, N38504, N52588, N677, N35619, N557, N23409, N39463, N26762, N47975
U11271, iter_1: N26781, N5085, N41221, N46130, N37553, N16461, N18332, N18485, N29722, N27532, N11551, N47572, N37458, N29920, N8889, N55555, N33634, N9734, N59653, N62092
U11271, iter_2: N59833, N14809, N19536, N54439, N1663, N61973, N53013, N36916, N41547, N40221, N40752, N59526, N60550, N64077, N7826, N38898, N52577, N61929, N44417, N62033
U11274, iter_0: N26537, N19536, N38142, N15279, N58264, N38901, N4661, N4610, N35436, N40752, N50657, N50372, N28324, N35725, N62393, N1952, N4290, N26488, N59367, N53837
U11277, iter_0: N49001, N19477, N30288, N18151, N55723, N37500, N40899, N44249, N58264, N24109, N29722, N16914, N6056, N4661, N38797, N63681, N53443, N13640, N23184, N41400
U11292, iter_0: N51875, N42670, N13464, N46586, N25774, N23409, N53364, N1663, N59042, N17360, N20507, N61466, N15331, N61970, N1539, N53001, N26781, N61241, N61973, N34953
U11304, iter_0: N45017, N20507, N59867, N5519, N40324, N27553, N2649, N1344, N45561, N20394, N23918, N41498, N20601, N59908, N61296, N47572, N26781, N18295, N47087, N3865
