U10008, iter_0: N43386, N61970, N1344, N59385, N55723, N46037, N35252, N58264, N44249, N308, N61623, N39399, N41400, N33120, N53910, N2994, N279, N3416, N41172, N53335
U10233, iter_3: N42796, N35216, N61197, N63773, N891, N21030, N36414, N10786, N42590, N60848, N45417, N38381, N24802, N33929, N65216, N23675, N25064, N38155, N1790, N51795
U10233, iter_4: N24458, N28725, N18312, N61466, N40752, N47902, N4680, N60105, N58656, N52588, N24467, N30401, N51581, N45017, N29722, N16725, N18063, N49712, N50670, N20331
U10239, iter_0: N56211, N24458, N38483, N48077, N7112, N54000, N11869, N57202, N41126, N45947, N36933, N16051, N51071, N21128, N64264, N23184, N36545, N44499, N57049, N13865
U10259, iter_0: N62700, N39733, N45466, N14104, N32105, N57368, N2120, N40331, N33005, N56023, N5435, N50302, N42845, N38267, N6890, N25406, N7842, N23417, N64634, N3497
U10265, iter_0: N15194, N30288, N59653, N57451, N7470, N53443, N45561, N47370, N41221, N32708, N41387, N25163, N41113, N31782, N30834, N30401, N46441, N39463, N18485, N53013
U10285, iter_0: N38797, N3841, N31556, N61623, N2704, N64606, N6056, N56804, N57451, N61969, N24458, N18449, N28571, N30288, N37500, N44249, N52776, N32221, N58129, N4107
U10296, iter_0: N21519, N44249, N44394, N10812, N63550, N24272, N15269, N23767, N57764, N39094, N62988, N15066, N31958, N6555, N23180, N1684, N62887, N54571, N37793, N46586
U1030, iter_0: N59960, N55723, N19536, N17510, N26488, N18151, N46917, N1371, N36037, N26584, N60472, N2062, N47433, N8162, N61970, N57413, N14978, N46037, N26130, N41497
U1030, iter_1: N21030, N13729, N15469, N45294, N1106, N47916, N65025, N60868, N30222, N34492, N65073, N46892, N55553, N46137, N17393, N63793, N28884, N53170, N6171, N52835
U1030, iter_2: N64095, N55555, N38053, N24458, N29322, N14809, N61929, N32221, N15194, N30118, N56347, N775, N47087, N57521, N42988, N40899, N25015, N57888, N29363, N17936
U1030, iter_3: N1170, N63084, N4700, N59868, N6142, N62777, N22977, N39346, N22257, N52989, N27945, N6202, N23489, N6767, N19990, N32703, N34600, N14266, N16120, N53069
U1030, iter_4: N37346, N51690, N13640, N11931, N52588, N13498, N24424, N47190, N31014, N58129, N50565, N1575, N56270, N18295, N49038, N49878, N43646, N42196, N28571, N40752
U10306, iter_0: N6578, N11551, N59960, N33212, N45017, N56270, N19536, N62170, N2159, N49878, N5886, N50565, N4661, N38915, N1663, N60472, N17234, N42499, N58129, N26537
U10306, iter_1: N2649, N21290, N18571, N4680, N26781, N1189, N40752, N38504, N32221, N42196, N23184, N28571, N53013, N51875, N37346, N8162, N28420, N11041, N13640, N16477
U10306, iter_2: N38371, N43102, N35216, N22483, N38599, N61811, N20287, N56645, N51185, N3268, N30222, N16568, N58308, N61571, N49046, N28029, N43024, N24358, N16854, N32207
U10306, iter_3: N63390, N40324, N54439, N59653, N63860, N54018, N7173, N16461, N41387, N28324, N36689, N33831, N53728, N43301, N41400, N50670, N16066, N26262, N3293, N43460
U10306, iter_4: N35436, N14170, N33877, N32641, N36916, N17778, N47380, N60035, N30422, N27738, N28640, N60041, N30288, N6767, N34805, N57225, N31676, N35725, N5576, N29322
U10311, iter_0: N18151, N57034, N38869, N60472, N21681, N40752, N59908, N31179, N20394, N28571, N18291, N2704, N52009, N52201, N51690, N56217, N10367, N44645, N49038, N33326
U10332, iter_0: N47216, N7017, N9527, N27891, N46501, N17510, N61973, N44765, N45754, N32393, N8375, N37458, N54018, N52588, N3416, N37346, N40575, N64183, N34817, N11551
U10338, iter_0: N39184, N56211, N48487, N18571, N53630, N1952, N41621, N5288, N39399, N60472, N21941, N6642, N64273, N4290, N17234, N20478, N21681, N61241, N30689, N11569
U10338, iter_1: N51187, N47902, N59385, N37007, N46084, N16725, N38882, N53815, N20331, N20507, N46203, N308, N29920, N40575, N28983, N60059, N5085, N53335, N57180, N30288
U10338, iter_2: N1344, N8162, N15559, N39932, N43361, N38797, N43386, N49038, N42196, N29217, N4107, N52201, N51099, N28324, N53011, N41400, N47190, N46037, N16461, N62393
U10404, iter_0: N17510, N46501, N1952, N47216, N11681, N9846, N11931, N26271, N16725, N4610, N26048, N28800, N46917, N53011, N8375, N45017, N48487, N55830, N41658, N48049
U1045, iter_0: N2530, N16477, N26262, N59653, N32073, N60472, N30288, N47572, N47975, N58414, N32708, N59867, N13980, N21290, N34081, N53298, N39298, N56270, N18132, N15194
U1045, iter_1: N32393, N12843, N11551, N49252, N30422, N7852, N52835, N27738, N63390, N54792, N12703, N33297, N31884, N51187, N40752, N34031, N28643, N25130, N52577, N47190
U1045, iter_2: N16256, N46592, N61838, N48475, N54003, N44737, N5358, N23455, N3159, N21171, N44855, N15564, N29734, N41315, N22965, N34226, N65073, N25088, N11929, N53249
U10450, iter_0: N3841, N60105, N34004, N18312, N15811, N24458, N43460, N40324, N56347, N9135, N46703, N49955, N43955, N28327, N53728, N36612, N9321, N38504, N47087, N40899
U10451, iter_0: N24275, N40575, N2159, N46501, N58660, N19811, N29363, N40221, N22985, N20478, N32641, N1575, N26537, N4107, N46203, N60531, N29952, N56434, N41498, N59543
U10455, iter_0: N36249, N6916, N22664, N44249, N43301, N34601, N40906, N17952, N18151, N31679, N1344, N46130, N49955, N59960, N34344, N22690, N24467, N26762, N57034, N39463
U10474, iter_0: N25015, N26262, N6837, N23184, N56943, N29404, N60105, N13887, N33311, N21701, N32918, N46130, N496, N26537, N28811, N20533, N33953, N4923, N17031, N21752
U10478, iter_0: N47370, N15559, N26781, N61970, N34004, N31492, N41221, N39463, N40575, N19477, N53815, N58264, N47975, N60472, N53593, N26584, N40221, N47190, N38504, N53443
U10482, iter_0: N50484, N7112, N42655, N59685, N64183, N26690, N17342, N12703, N8709, N1539, N27731, N42670, N36916, N17998, N6471, N54571, N60027, N33212, N17234, N52502
U10491, iter_0: N3996, N42196, N45017, N34344, N50775, N53013, N62170, N59908, N16914, N26584, N40221, N60599, N58129, N28281, N53011, N2159, N28103, N18291, N16725, N24275
U10507, iter_0: N61970, N31782, N17936, N28072, N41640, N26762, N26792, N53335, N26781, N11931, N36612, N25015, N18295, N38333, N29450, N46441, N60059, N39463, N43361, N52299
U10516, iter_0: N63390, N28983, N7330, N64095, N44249, N58660, N29541, N25163, N41400, N50372, N44765, N20984, N30562, N41172, N2994, N279, N61623, N7826, N47433, N59385
U10524, iter_0: N64095, N47216, N35436, N29363, N18295, N15559, N30562, N18151, N47433, N37589, N21941, N63390, N29541, N17342, N61973, N24617, N6056, N38142, N31978, N29322
U1053, iter_0: N29920, N38869, N61970, N39109, N26762, N19387, N41006, N60059, N46084, N19477, N11083, N50775, N46441, N62207, N38504, N4680, N34344, N40985, N27906, N17936
U10585, iter_0: N557, N24424, N47902, N28327, N46130, N36612, N2994, N1344, N19477, N20507, N3996, N38869, N8711, N53443, N47190, N64606, N36408, N40221, N53335, N279
U10585, iter_1: N59960, N37346, N28103, N4661, N52588, N46501, N24275, N34031, N62001, N62170, N21063, N26584, N52201, N53013, N37458, N49038, N59385, N25837, N18151, N35252
U10585, iter_2: N55259, N57957, N16953, N13022, N61902, N2960, N19605, N45338, N49328, N14523, N10123, N26499, N38306, N614, N59432, N7754, N14181, N24480, N64971, N60887
U10604, iter_0: N47370, N5693, N19477, N29450, N36612, N37007, N557, N26781, N64606, N15194, N39109, N7470, N28983, N2649, N11931, N34031, N38504, N40221, N14257, N63746
U10604, iter_1: N4610, N32641, N31289, N25130, N14333, N61973, N53364, N35725, N25163, N35671, N8162, N36916, N61241, N61623, N51187, N27731, N36037, N775, N26130, N53013
U10604, iter_2: N18485, N33831, N52299, N63546, N24275, N28281, N47190, N43646, N4680, N56270, N308, N56347, N36408, N49038, N52492, N46203, N20394, N33326, N9846, N60599
U10611, iter_0: N279, N27891, N23603, N61973, N54571, N33120, N53011, N53335, N6371, N48407, N24617, N15279, N1539, N64335, N47216, N64721, N2994, N9527, N47433, N26130
U10635, iter_0: N6056, N54571, N40451, N1539, N55723, N11289, N18295, N48084, N46037, N7173, N62423, N57521, N48659, N18571, N61973, N16725, N62894, N56458, N54018, N47433
U10635, iter_1: N51690, N39932, N60472, N28643, N38898, N44645, N51187, N61970, N4610, N31884, N29322, N60041, N51099, N54439, N19623, N17234, N41497, N8711, N61040, N53013
U10635, iter_2: N47087, N52577, N64469, N29627, N28324, N28640, N45163, N38797, N19536, N24701, N30422, N50942, N48455, N32536, N32277, N51867, N1344, N3293, N43386, N64412
U10635, iter_3: N50060, N24608, N1019, N36914, N41176, N57187, N44145, N27788, N39393, N23563, N19036, N58748, N36332, N41165, N1427, N20025, N24981, N53170, N4700, N20729
U10635, iter_4: N26537, N31423, N41172, N47902, N20764, N40752, N45017, N31492, N30118, N59003, N5886, N1667, N15559, N56270, N24109, N31782, N5228, N49834, N38556, N33670
U10674, iter_0: N21063, N13498, N56211, N31884, N57521, N20576, N48084, N46037, N34949, N47380, N14170, N12703, N19536, N17234, N51187, N51690, N39399, N28640, N40451, N4290
U10700, iter_0: N16725, N11569, N47433, N28800, N55830, N58264, N11681, N37458, N30288, N18151, N60192, N54439, N32641, N17234, N24275, N29363, N1344, N19998, N28983, N41498
U10700, iter_1: N28448, N5085, N61593, N21941, N57888, N12330, N17952, N26792, N5576, N3138, N64077, N7947, N21142, N23918, N1067, N38915, N4610, N26130, N56270, N33877
U10700, iter_2: N53381, N301, N49038, N7173, N4107, N43361, N39015, N40451, N61973, N28324, N42196, N63390, N62393, N27738, N19536, N30639, N4556, N33623, N31676, N29627
U10703, iter_0: N11681, N34031, N36916, N28420, N2994, N60035, N20601, N3007, N61466, N47087, N64469, N30422, N46379, N55830, N19321, N45760, N18310, N51875, N34805, N47380
U10703, iter_1: N44926, N56874, N26584, N12823, N36436, N62170, N60592, N34930, N1768, N35381, N53013, N32806, N49878, N63303, N30042, N13568, N40470, N31964, N10876, N7443
U10703, iter_2: N20478, N58656, N29952, N32641, N46178, N4680, N21312, N23918, N54437, N6994, N436, N11015, N38556, N35238, N38797, N936, N17952, N10278, N42670, N23409
U10729, iter_0: N47040, N41400, N40982, N44772, N54912, N23692, N7443, N53634, N51424, N45294, N38797, N23824, N29344, N64269, N45283, N36933, N13165, N8162, N15292, N18644
U10742, iter_0: N60550, N58264, N1539, N2994, N46501, N11551, N6056, N41400, N279, N28983, N50372, N47433, N40468, N49252, N3416, N29541, N17510, N4661, N59385, N59981
U10773, iter_0: N40468, N26488, N42670, N27936, N22975, N7826, N13408, N55830, N50484, N40752, N2062, N53001, N51033, N49252, N20816, N6532, N6209, N29363, N20984, N6873
U10822, iter_0: N7826, N2994, N52577, N1344, N31978, N26584, N34805, N11551, N41400, N47433, N50372, N55830, N28983, N64095, N20459, N59367, N12613, N27936, N26130, N40221
U10822, iter_1: N1105, N31005, N8373, N9182, N16020, N13374, N32630, N40438, N17342, N36293, N17886, N21037, N23303, N7288, N40941, N38053, N12259, N64748, N22442, N62003
U10822, iter_2: N60192, N29363, N64412, N19998, N41172, N57521, N46501, N3416, N31179, N60939, N24213, N25163, N4661, N34817, N44765, N53381, N54136, N27731, N8162, N44417
U1083, iter_0: N33120, N48487, N60550, N59385, N62894, N39399, N54571, N17342, N5886, N6471, N48077, N6056, N55723, N47433, N59526, N30689, N18571, N57001, N57521, N22456
U10855, iter_0: N35436, N32641, N39184, N11931, N46917, N7826, N24275, N58660, N42196, N40575, N14333, N35725, N40221, N21941, N41658, N53837, N48717, N39015, N64412, N60939
U10862, iter_0: N47902, N39463, N9971, N9734, N21290, N28072, N20507, N29930, N47975, N63681, N47370, N37007, N5085, N41221, N53443, N57888, N40752, N41640, N46037, N42877
U10866, iter_0: N62001, N31556, N60747, N4107, N8907, N54571, N28983, N43361, N27318, N20236, N35725, N41285, N45760, N50372, N52009, N42670, N29091, N51489, N49038, N6578
U10868, iter_0: N53013, N46283, N51489, N9527, N7017, N53335, N41621, N41285, N9846, N56132, N47216, N45612, N13980, N58264, N6642, N29511, N22975, N27318, N49973, N11551
U10906, iter_0: N20413, N6056, N28103, N3416, N49712, N19477, N37500, N28281, N26584, N677, N53443, N31556, N47190, N37346, N38504, N40575, N31492, N43400, N63746, N55531
U10909, iter_0: N51187, N12330, N15194, N34360, N34081, N2704, N53168, N43822, N28072, N51099, N40985, N52776, N40206, N39932, N30288, N53011, N23508, N39399, N27553, N9846
U10910, iter_0: N37146, N64372, N55229, N44166, N51690, N19685, N2159, N59908, N43822, N18291, N26537, N57403, N5940, N41498, N60599, N34081, N10869, N37553, N13347, N51187
U10928, iter_0: N11551, N26488, N51187, N44249, N308, N5886, N35252, N1344, N16461, N25163, N34031, N41400, N3416, N52835, N55723, N17510, N41172, N47433, N36408, N53335
U10936, iter_0: N24109, N26781, N15559, N59385, N36612, N34344, N2649, N61970, N61363, N28327, N64606, N5085, N47975, N61623, N40670, N21290, N26792, N557, N23918, N13640
U10944, iter_0: N62170, N4107, N56270, N11289, N1575, N53013, N42196, N37458, N37553, N16914, N41285, N21290, N16461, N51187, N56804, N27553, N11931, N61472, N52098, N49878
U10979, iter_0: N33120, N8375, N41172, N30929, N35252, N27891, N53735, N44765, N54571, N4905, N60192, N15279, N61973, N7330, N64273, N53986, N60027, N51119, N39184, N46586
U1098, iter_0: N30288, N27906, N40752, N34031, N17510, N1344, N11551, N46037, N64372, N61969, N11289, N34081, N53011, N50565, N308, N16461, N51099, N33326, N53013, N46203
U1098, iter_1: N19536, N41221, N50942, N53001, N54439, N301, N38142, N20764, N62033, N53593, N5734, N32139, N61973, N1067, N54437, N27738, N18895, N7568, N936, N48084
U1098, iter_2: N62092, N59908, N46703, N37007, N31423, N2649, N11041, N58414, N51187, N3416, N37346, N23409, N17360, N58264, N41640, N40468, N26537, N22690, N4661, N10541
U1098, iter_3: N43269, N60750, N28059, N46917, N25256, N22825, N6582, N64490, N3589, N29751, N2761, N14266, N38073, N59495, N25278, N60255, N53528, N55198, N40156, N45629
U1098, iter_4: N39109, N29217, N20394, N49878, N42196, N43361, N5085, N62207, N57403, N50670, N3541, N4680, N61844, N64933, N61623, N58030, N61296, N60472, N37458, N56434
U11007, iter_0: N57451, N3416, N41113, N30288, N37346, N17510, N11551, N40221, N13640, N39298, N25163, N1067, N46203, N21681, N21590, N62170, N2649, N20507, N53815, N8711
U11014, iter_0: N26781, N36037, N59960, N58354, N41221, N40752, N11931, N16725, N45017, N40221, N10869, N18485, N61970, N37458, N39463, N16914, N2159, N1189, N32708, N4107
U11014, iter_1: N32196, N46738, N52577, N56434, N30288, N62170, N9846, N49878, N52588, N58129, N65103, N1371, N59876, N31179, N50657, N61973, N60472, N35857, N60599, N11041
U11014, iter_2: N1336, N24435, N20287, N49046, N15481, N15469, N27219, N7010, N22917, N45602, N64731, N33147, N14194, N26343, N63480, N23394, N3216, N2728, N19047, N36459
U11014, iter_3: N56569, N19057, N60952, N23244, N36332, N60848, N45323, N55123, N43770, N40700, N44289, N57053, N43936, N18050, N54439, N60887, N10472, N31341, N63152, N12136
U11014, iter_4: N2649, N21290, N39298, N38882, N42877, N8889, N20947, N41064, N20764, N9971, N41498, N34031, N57888, N7470, N37007, N28571, N52835, N40985, N50565, N60059
U1103, iter_0: N5940, N46130, N3996, N27532, N47902, N34360, N18295, N46037, N51690, N18571, N51187, N11931, N37458, N13498, N36037, N61296, N24424, N40956, N37146, N18151
U11059, iter_0: N42196, N46037, N19536, N11930, N39015, N15559, N62894, N40451, N30562, N18978, N36689, N23559, N33486, N16461, N27738, N41497, N26130, N301, N31676, N47433
U11075, iter_0: N53011, N30288, N18151, N40752, N53013, N13640, N61296, N28983, N26584, N8162, N53308, N45017, N34344, N28103, N21681, N18571, N36037, N22985, N31179, N57034
U11124, iter_0: N11930, N26488, N6056, N41400, N59022, N38733, N44249, N28983, N56270, N57403, N59685, N28324, N19536, N59960, N22456, N53013, N39932, N20459, N11289, N4610
U11124, iter_1: N3841, N46178, N43460, N20331, N59586, N41172, N53298, N52835, N61760, N22664, N16725, N28448, N26584, N53308, N56347, N46915, N53168, N39463, N41221, N4680
U11124, iter_2: N56278, N60868, N56746, N6224, N28091, N36167, N42094, N39050, N41651, N28643, N5358, N21030, N23195, N977, N48762, N5370, N61595, N34492, N52329, N22416
U11146, iter_0: N51187, N308, N61970, N1344, N34031, N2994, N16461, N17510, N11551, N47433, N45754, N46037, N38797, N58264, N53335, N61623, N5886, N51099, N25163, N21590
U11157, iter_0: N33831, N28324, N34360, N40956, N28327, N46037, N33670, N40985, N15559, N39399, N30345, N34457, N60105, N16461, N47087, N19387, N61363, N34344, N1067, N54587
U11159, iter_0: N47216, N50775, N30288, N31884, N33526, N28640, N61973, N29322, N14809, N11551, N35436, N677, N38901, N62033, N20984, N58070, N3045, N53001, N47652, N13408
U11165, iter_0: N45754, N2994, N34031, N51187, N3416, N308, N1344, N36408, N61970, N35252, N17510, N279, N21590, N53335, N53910, N11551, N51099, N5886, N43386, N16461
U11178, iter_0: N53910, N51187, N28324, N24686, N2530, N14257, N43386, N36612, N40468, N28072, N23508, N33831, N41172, N34601, N28327, N40356, N15811, N61541, N31679, N5886
U11185, iter_0: N42196, N21063, N59586, N57180, N22985, N28983, N61472, N2704, N28281, N34344, N13498, N52201, N41285, N40752, N8162, N43438, N53013, N31179, N28571, N61296
U112, iter_0: N6056, N54571, N50372, N19433, N44640, N38797, N33623, N34949, N34953, N62001, N48077, N5288, N5886, N8907, N24275, N30288, N3996, N55723, N53630, N46501
U1121, iter_0: N59908, N16477, N28152, N28420, N9135, N16431, N29217, N61363, N20764, N26057, N32288, N60105, N308, N40206, N62393, N46162, N20947, N25015, N61466, N18132
U11232, iter_0: N21590, N11551, N27936, N6994, N29541, N48077, N34344, N25163, N47848, N37589, N1344, N40752, N52764, N34805, N8375, N8907, N41400, N15279, N28571, N61973
U11232, iter_1: N49712, N40906, N40324, N55723, N9409, N2994, N38053, N9971, N53728, N53298, N27866, N16477, N29930, N59067, N20413, N41387, N46915, N46037, N7947, N16431
U11232, iter_2: N23195, N34492, N28947, N45523, N52835, N27599, N19770, N35591, N40332, N29228, N3064, N63390, N46283, N55977, N9580, N56166, N46821, N58081, N31468, N46708
U11232, iter_3: N47572, N24458, N43460, N51875, N12330, N44249, N56804, N59385, N45754, N56456, N38869, N4661, N41285, N49038, N37346, N3007, N57180, N56270, N15559, N5085
U11232, iter_4: N32393, N38797, N40575, N2062, N46586, N60531, N60472, N31036, N30288, N58070, N10278, N19433, N36425, N35725, N62423, N48659, N17672, N41498, N30929, N29627
U11250, iter_0: N6578, N3045, N45754, N34344, N49252, N57034, N53754, N53837, N130, N63390, N51033, N7330, N59981, N26130, N43386, N54018, N279, N1952, N37589, N308
U11250, iter_1: N33540, N29862, N15292, N27619, N3159, N56517, N5669, N8045, N23675, N44476, N19882, N30713, N41288, N26415, N54315, N17355, N52835, N27869, N59841, N55609
U11250, iter_2: N26262, N23918, N54587, N21156, N58414, N52764, N61541, N48659, N6371, N34081, N34949, N1667, N30562, N29369, N26537, N31556, N7947, N29363, N32536, N17778
U11255, iter_0: N33505, N46738, N54792, N31036, N31789, N40728, N26781, N3380, N60531, N14809, N25583, N12843, N50657, N28152, N40468, N23559, N7961, N31939, N4290, N59876
U11271, iter_0: N47216, N14170, N33212, N16804, N59833, N59981, N36037, N28640, N1539, N4610, N7112, N47380, N64095, N20478, N50942, N35436, N51187, N50453, N56211, N53013
U11271, iter_1: N34031, N18291, N1344, N10541, N52588, N43361, N60472, N58129, N26584, N59960, N31556, N34081, N46501, N308, N45017, N2994, N40221, N13347, N21063, N46037
U11271, iter_2: N50565, N16914, N41285, N13640, N40752, N26537, N60599, N35252, N20236, N43400, N38869, N62001, N37458, N677, N4107, N3996, N64077, N50775, N44645, N56434
U11274, iter_0: N52588, N30401, N29920, N5519, N9846, N60059, N37458, N18291, N56217, N61040, N26537, N1667, N34081, N49878, N52492, N41285, N28725, N2159, N31014, N51187
U11277, iter_0: N30288, N49712, N2704, N28420, N31556, N51690, N40752, N63746, N1477, N56804, N62170, N56434, N56270, N34081, N4107, N31423, N26781, N26537, N2159, N10541
U11292, iter_0: N63746, N9846, N9321, N47190, N55531, N62001, N39932, N37272, N43400, N52201, N58129, N56456, N18132, N57180, N26584, N58414, N8657, N28571, N31179, N62207
U11304, iter_0: N3416, N43301, N28072, N13498, N53011, N46203, N23409, N40324, N30288, N49878, N33831, N62170, N24467, N30118, N26262, N62092, N25163, N4680, N17360, N57888
